Topic,Pol_Avg_Mahalanobis,Pol_Avg_Total_Dispersion,Pol_Avg_PC1_Ratio,Pol_Avg_Davies_Bouldin,Pol_Polarization_CoG,Ideo_Avg_Mahalanobis,Ideo_Avg_Total_Dispersion,Ideo_Avg_PC1_Ratio,Ideo_Avg_Davies_Bouldin,Ideo_Polarization_CoG
Baseline,1.7533462374899655,0.045553640107565053,0.42763505327820894,9.528041326949259,15.590125477818884,24.781498850908307,0.07376769627329867,0.4349256784480531,9.55800425689991,18.814570527283895
abortion,1.8142858506748567,0.033471489244597835,0.39503665082884254,8.14318921463748,16.196625673543828,28.22232322049632,0.06604246392350667,0.4558927629987011,45.45887323811287,19.324179856877425
affirm_action,1.81113679846707,0.026710251823167577,0.3805631945942878,8.294015271265382,16.047997015214797,26.219210124473058,0.0633423829693637,0.4465716467821039,14.786406990741298,19.09344452639883
ar_ban,1.8242373854119043,0.024440749213932113,0.3697336997902312,7.604884900835443,16.684285040642614,28.425065425027086,0.0616850104576792,0.4579777336039115,5.3674339439065335,19.26301479898235
assist_black,1.8021287921210094,0.031555833161962685,0.3825253948198224,7.47368692143773,17.116643915269716,28.07224206422761,0.06022603676149463,,5.48271720424735,19.515461516295467
biden_crime,1.8329073458483476,0.0330956265225489,0.39139330482066725,7.782364499203368,16.29021480873509,26.71424637605812,0.06087343472714056,0.4458040669123875,11.303758955230915,19.073603379999312
biden_foreign,1.8181095277515276,0.036559298479537886,0.38997673972698976,8.569588173671992,15.876734756139227,25.822736393854793,0.06290406356917588,0.4469362679083133,16.928308080259512,19.11231779663266
birthright,1.796549803187665,0.029259416306236838,0.39094426435622154,8.756335491394974,15.710360661888144,24.175845607380367,0.06232202103919144,0.4388706194004044,5.670548884558993,18.973649895177218
black_favor,1.7731928523169533,0.02800056534188929,0.38650136305295746,7.298153313432793,17.54017219566434,25.21523732633151,0.05177992979866208,0.48067989019909874,7.589550804772675,19.366737155770632
border_wall,1.757254756930503,0.05177356536173359,0.433771284748218,10.258293354159482,14.996040935771815,26.919424530526108,0.0714707660922013,,5.617490527769382,19.2480537500585
checks_power,1.683635931946961,0.023184607625765997,0.3648990504334506,8.9742301913525,16.038351309258964,21.870331889850807,0.055954500074170695,0.44790036327322014,5.712908299363366,19.112065405706456
clim_imp,1.8332475548856544,0.03774217903862158,0.4013011264250963,7.245800335258154,16.992992820945865,42.72768388317584,0.07963076184944345,0.4925097330851713,5.108395539507241,20.062419553766624
crime_spend,1.7208851402408183,0.024038474994646286,0.3745164537940582,8.935389582993139,15.96229014772884,23.93814957438174,0.055786749707409794,0.4477836619189475,28.149010726799002,19.27015070897107
death_pen,1.7240105365098017,0.025834655667332264,0.38283591559593333,9.020698064459179,15.911207314185708,25.163417045431306,0.05931804511068112,,6.238075227752259,19.203458125604985
def_spend,1.7111164429115184,0.023909874119690866,0.3763935295683041,9.058529351933204,15.828612557392947,26.74113550224729,0.05997317677352274,0.4594664531905437,5.895416131499773,19.73726357469544
dei_college,1.7701782392526635,0.019876837446839872,0.36141856092217495,7.319841806846859,16.934593768528362,29.000096907291496,0.07703014701703001,0.4662705813971115,133.37125685633612,19.531434779308903
discuss_race,1.7092592354393785,0.02805391957635917,0.3869798176456243,8.392875048301255,16.424009075198697,24.388341329753437,0.05689355522435134,,11.712798876210067,19.224130037278915
diversity,1.7071277559026368,0.02693623246077455,0.37570174610664253,8.647402150685078,16.127492240225322,29.74271163320163,0.0667230095181207,0.46223283077415545,16.49782820152188,19.60846152194703
econ_now,1.748134461131665,0.028033248702868736,0.37737451153225265,9.231940560913875,15.723551824031903,22.404232725513854,0.06872969513397548,,6.108432004685946,18.969094472267425
env_bus,1.7631104950420255,0.026302075634472153,0.37766196582015255,8.45587861612237,16.202406746872793,23.826101160158572,0.05553737136894352,,5.919223837842715,19.2292064414231
felon_vote,1.7205701390105648,0.022433808370512398,0.3730782347774948,8.107348633175924,16.72166158748531,26.782127541008315,0.06005348808873585,0.4619443945266539,6.1901661157365835,19.541773273512273
free_trade,1.7511016647470408,0.029859039305854755,0.3910011324660445,9.27910522981025,15.572021189666392,23.576293367428825,0.06021642270448967,0.4417316976177972,14.703464467581693,18.987843804609223
ft_asian,1.7989400356064882,0.045398173835111556,0.4187766548457148,7.045997299576942,17.39463437114437,26.867857887254836,0.08512515993270457,0.46705522151023615,88.62897713560442,19.196545093706906
ft_fem,1.811181097540948,0.0468143439868065,0.409053457169648,7.589665397893888,16.600159333493394,31.95650895724136,0.09209120569694929,0.46454812976298854,8.794475050858376,19.51022334277422
ft_police,1.7574270971348858,0.04056268226111397,0.4131163384045067,9.440337133006498,15.52769261480571,26.968160587569233,0.0723544727270099,0.4351074953592615,45.95078221361237,19.134435210542993
ft_sci,1.7723687180120065,0.04035297787457374,0.4069479447498452,8.668930868398062,15.896984013242594,28.658753828670463,0.08462055022907652,0.4508943731052568,10.880684860479539,19.349163014950047
ft_trans,1.8970504515810815,0.04229042809298514,0.40288037341451854,6.317437166134352,18.264346669933644,34.713814726453656,0.09315814772735571,0.4957673684839392,4.944709591879988,20.23872436280205
ft_union,1.8228742473569377,0.034088135852790385,0.39495154939140775,8.244807661688801,16.23279778179204,29.100200816979918,0.07683310700680909,0.4513884060434066,26.412048681836925,19.40209561359918
ghg_emiss,1.809828195749613,0.030765894992019406,0.3910004277022381,7.954386424857547,16.380479655793472,34.78135402727334,0.07372815267054035,0.47144338909129146,9.787684933337472,19.64131953136312
