Topic,Pol_Avg_Mahalanobis,Pol_Avg_Total_Dispersion,Pol_Avg_PC1_Ratio,Pol_Avg_Davies_Bouldin,Pol_Polarization_CoG,Ideo_Avg_Mahalanobis,Ideo_Avg_Total_Dispersion,Ideo_Avg_PC1_Ratio,Ideo_Avg_Davies_Bouldin,Ideo_Polarization_CoG
Baseline,1.7533462374899655,0.04555365040720381,0.42763505514813005,9.528041326949259,15.590125477818884,24.781498850908307,0.07376769627329867,0.4349256784480531,9.55800425689991,18.814570527283895
abortion,1.8142858506748567,0.03347143769579926,0.3950366544231656,8.14318921463748,16.196625673543828,28.22232322049632,0.06604246392350667,0.4558927629987011,45.45887323811287,19.324179856877425
affirm_action,1.81113679846707,0.02671025876272971,0.3805632000330661,8.294015271265382,16.047997015214797,26.219210124473058,0.0633423829693637,0.4465716467821039,14.786406990741298,19.09344452639883
ar_ban,1.8242373854119043,0.024440761676807844,0.36973370259147487,7.604884900835443,16.684285040642614,28.425065425027086,0.0616850104576792,0.4579777336039115,5.3674339439065335,19.26301479898235
assist_black,1.8021287921210094,0.03155591498037418,0.3825253976901877,7.47368692143773,17.116643915269716,28.07224206422761,0.06022603676149463,,5.48271720424735,19.515461516295467
biden_abortion,1.84717322398397,0.03513377987161998,0.400371564708621,8.319052427349263,15.751133691614672,28.39746032805631,0.06348111740465057,0.44851120573002845,20.754104700488075,19.14164752495105
biden_crime,1.8329073458483476,0.03309562927009154,0.39139330731268274,7.782364499203368,16.29021480873509,26.71424637605812,0.06087343472714056,0.4458040669123875,11.303758955230915,19.073603379999312
biden_economy,1.8375451380967305,0.03662715129694631,0.3901308917920687,8.197381097715963,16.025559583705014,26.337030530997723,0.06445967691257326,0.447066727821948,11.372783035659376,19.176682352496133
biden_foreign,1.8181095277515276,0.036559323776054226,0.3899767350012553,8.569588173671992,15.876734756139227,25.822736393854793,0.06290406356917588,0.4469362679083133,16.928308080259512,19.11231779663266
biden_immigration,1.8457293952156972,0.03384537929179903,0.39274516795558156,8.020883687042978,16.052610557339936,27.214377912188034,0.06334444713296913,0.44895526937034447,20.902408271309927,19.05393608581956
birthright,1.796549803187665,0.029259389208371636,0.3909442653566657,8.756335491394974,15.710360661888144,24.175845607380367,0.06232202103919144,0.4388706194004044,5.670548884558993,18.973649895177218
black_favor,1.7731928523169533,0.028000527322042907,0.3865013681752316,7.298153313432793,17.54017219566434,25.21523732633151,0.05177992979866208,0.48067989019909874,7.589550804772675,19.366737155770632
border_wall,1.757254756930503,0.051773628421481206,0.4337712874148565,10.258293354159482,14.996040935771815,26.919424530526108,0.0714707660922013,,5.617490527769382,19.2480537500585
checks_power,1.683635931946961,0.0231844995764316,0.3648990494730242,8.9742301913525,16.038351309258964,21.870331889850807,0.055954500074170695,0.44790036327322014,5.712908299363366,19.112065405706456
clim_imp,1.8332475548856544,0.03774218570795346,0.40130112310362165,7.245800335258154,16.992992820945865,42.72768388317584,0.07963076184944345,0.4925097330851713,5.108395539507241,20.062419553766624
crime_spend,1.7208851402408183,0.024038597643170092,0.37451644648535876,8.935389582993139,15.96229014772884,23.93814957438174,0.055786749707409794,0.4477836619189475,28.149010726799002,19.27015070897107
death_pen,1.7240105365098017,0.025834615453809266,0.38283591080107726,9.020698064459179,15.911207314185708,25.163417045431306,0.05931804511068112,,6.238075227752259,19.203458125604985
def_spend,1.7111164429115184,0.02390987144631268,0.3763935213210061,9.058529351933204,15.828612557392947,26.74113550224729,0.05997317677352274,0.4594664531905437,5.895416131499773,19.73726357469544
dei_college,1.7701782392526635,0.019876823944675832,0.3614185637452465,7.319841806846859,16.934593768528362,29.000096907291496,0.07703014701703001,0.4662705813971115,133.37125685633612,19.531434779308903
discuss_race,1.7092592354393785,0.028053914045444602,0.3869798204541439,8.392875048301255,16.424009075198697,24.388341329753437,0.05689355522435134,,11.712798876210067,19.224130037278915
diversity,1.7071277559026368,0.026936237794533736,0.37570174299980863,8.647402150685078,16.127492240225322,29.74271163320163,0.0667230095181207,0.46223283077415545,16.49782820152188,19.60846152194703
econ_now,1.748134461131665,0.028033313766653353,0.37737451349312323,9.231940560913875,15.723551824031903,22.404232725513854,0.06872969513397548,,6.108432004685946,18.969094472267425
env_bus,1.7631104950420255,0.02630205363796131,0.37766196731172386,8.45587861612237,16.202406746872793,23.826101160158572,0.05553737136894352,,5.919223837842715,19.2292064414231
felon_vote,1.7205701390105648,0.02243384556665262,0.37307823336232104,8.107348633175924,16.72166158748531,26.782127541008315,0.06005348808873585,0.4619443945266539,6.1901661157365835,19.541773273512273
free_trade,1.7511016647470408,0.029859032526180475,0.3910011301886698,9.27910522981025,15.572021189666392,23.576293367428825,0.06021642270448967,0.4417316976177972,14.703464467581693,18.987843804609223
ft_asian,1.7989400356064882,0.045398176284826855,0.41877664830099093,7.045997299576942,17.39463437114437,26.867857887254836,0.08512515993270457,0.46705522151023615,88.62897713560442,19.196545093706906
ft_fem,1.811181097540948,0.046814347541157715,0.40905345643113833,7.589665397893888,16.600159333493394,31.95650895724136,0.09209120569694929,0.46454812976298854,8.794475050858376,19.51022334277422
ft_police,1.7574270971348858,0.040562701096407514,0.41311634036537725,9.440337133006498,15.52769261480571,26.968160587569233,0.0723544727270099,0.4351074953592615,45.95078221361237,19.134435210542993
ft_sci,1.7723687180120065,0.040352974627934385,0.4069479476020206,8.668930868398062,15.896984013242594,28.658753828670463,0.08462055022907652,0.4508943731052568,10.880684860479539,19.349163014950047
ft_trans,1.8970504515810815,0.04229044775397923,0.40288037420032197,6.317437166134352,18.264346669933644,34.713814726453656,0.09315814772735571,0.4957673684839392,4.944709591879988,20.23872436280205
ft_union,1.8228742473569377,0.034088141946159486,0.3949515443891869,8.244807661688801,16.23279778179204,29.100200816979918,0.07683310700680909,0.4513884060434066,26.412048681836925,19.40209561359918
ghg_emiss,1.809828195749613,0.0307658964986924,0.3910004308272619,7.954386424857547,16.380479655793472,34.78135402727334,0.07372815267054035,0.47144338909129146,9.787684933337472,19.64131953136312
govt_health,1.7896725537252942,0.033200211867760995,0.39336034619554994,8.251267242872919,16.22759505803139,32.52654610915284,0.06789213958252019,0.4581171183672268,31.454344856996354,19.67886190562306
gun_bkg_chk,1.7439642831953037,0.022273921559937498,0.36744052804715466,8.21580690034246,16.599967347711367,29.611628817756685,0.06451685089804396,,8.654925847315148,19.621887869828512
gun_imp,1.7536024223805573,0.02316833722951521,0.3717201530307648,8.049922666156082,16.588037205679655,26.256102706849934,0.05502176491269624,,6.059928128751546,19.406142322096514
health_spend,1.7268079422336586,0.021059499747033868,0.35874287209662725,8.301046935147198,16.494714295412248,28.59669287356051,0.060302038049389994,,8.381833106272888,19.41724280216663
illeg_child,1.842530792422296,0.03431993712972991,0.4048155160235183,7.118722911666959,17.00108943659372,27.61003984339123,0.06750164554701193,0.45374083452043124,5.439238684756281,19.41131086444104
imm_unauth,1.8212810174038934,0.027518865720485362,0.38358382108344813,7.896980378412331,16.267674876175896,27.550088451355784,0.06789319998342519,0.4508845990494592,5.731577338436701,19.13170062865824
immig_levels,1.7845355667722977,0.03363929331164779,0.39359698614498484,9.12106054781118,15.687273363390807,24.339242477454906,0.0643673572418278,0.44457650498952717,16.430073847701347,19.116958763587302
intl_trade_job,1.7464595471132744,0.028544532179132984,0.3777721205369744,9.07035955601106,15.838817458367846,23.460423450192295,0.06077576732146735,0.44677151819632854,6.393277510603856,19.125736830487075
israel_aid,1.7652936596743176,0.032180278233525955,0.3997168338573829,9.30755798140233,15.529058238778795,26.196140425834827,0.06379629980341966,0.4489114734751638,17.231719598427816,19.636273450550988
job_gov_guar,1.7273849975272553,0.023750022851580618,0.36706109474107507,8.744417318600089,16.172050564830347,27.989447134178747,0.06477395727979157,,5.598047747994137,19.593361388824036
journ_access,1.6909583182321999,0.02217846166930272,0.3684135497605894,8.680396439257017,16.240637455114737,30.32882170540004,0.06589894194999751,0.4612216671812348,34.13925026148634,19.61513525643657
lg_job,1.841690393857521,0.03698544775753334,0.40718517932327813,6.753553006927508,17.579029404947494,34.59795411806721,0.08232475338033461,,5.474182801242927,20.027589050182375
lg_marry,1.827035571583056,0.03432469448592194,0.40110022999579087,7.486938852712185,16.754018021203127,39.8171152057835,0.09203435332564454,0.49010520831507165,11.443036358496018,20.27531725149296
lg_refuse_service,1.7966998462281296,0.028566646422061564,0.386142980762088,7.092815687020574,17.944173541167125,34.121399386713556,0.06709830489806463,0.48540169588522986,5.362602084576083,19.96858400852742
limit_imports,1.704712846586983,0.023694823320421162,0.3841387530519569,9.440042715575965,15.570814922866305,24.35256810053945,0.06542495598589901,0.4478503095306223,56.820007062417325,18.646019873746404
mil_force,1.747366973312813,0.034052983320156355,0.4012007497076411,9.424648113380215,15.489690576383852,23.71258489724778,0.05991877329519786,0.4488841785641853,14.087234649906836,19.238850798856635
millionaire_tax,1.8070003016149476,0.028033685298584125,0.3891347350217984,8.089495325478875,16.30669995731294,29.106605259476765,0.06315656343277187,0.4531306224525906,10.844049052041456,19.184054453303293
min_wage,1.7941129981052057,0.028317631286895358,0.38940259025184787,8.377558347731316,15.996794529149359,27.13253349790049,0.06565163563446845,0.4526749564392958,10.44719708496907,19.371673787091858
obamacare,1.8071278929883365,0.026574353530148146,0.3798659312451491,7.998680883153139,16.529289773681786,29.106702669848104,0.06036432383761333,0.45897842322301585,16.687021303867365,19.429352430371054
paid_leave,1.8519787773660936,0.025421820673920525,0.3812647749982716,7.423796026926066,16.71253404123096,33.8850528786981,0.07812952055040273,0.4713943084643688,43.35041657295427,19.824666486552026
police_force,1.6967757314964393,0.022284432524701338,0.3703354363242397,8.839888315961044,16.067233620755456,24.11643240786327,0.055265883947955945,,6.28020693088019,19.027359006324815
rus_interf,1.727214084430702,0.024384427749546026,0.37474434611795004,8.208717189063115,16.398048374634985,26.05013211522324,0.05943494725944275,0.4576968945330009,11.165836615910678,19.5635359305891
scotus_abort,1.808585760053218,0.02918133453508007,0.3919458098425821,8.205669183872978,16.343609604901488,25.73711868625639,0.0625441278231389,0.4464617747871671,34.67480820394065,18.727771777944252
spend_border,1.7634520610331224,0.02409466445507093,0.3762571705156006,8.812634417486327,15.967040520567737,27.200491432645258,0.06167436139261594,,5.62730873265371,19.393502745491848
spend_poor,1.7607457743047172,0.025154336737756182,0.3733005255817261,8.280957663843473,16.368206489952673,27.088758262306044,0.0587089946724072,0.45373085139726754,11.144129745474634,19.26955405349289
spend_school,1.7437238039081624,0.023652437209320296,0.37414994316714,8.555577292429367,16.130591312367844,29.016029674225972,0.06218142364691573,0.45755282368918415,6.4637551530002915,19.427663940650422
spend_welfare,1.778385479759504,0.02532458684616129,0.37787382730311947,8.43180645396561,16.10950052327175,26.36352843716973,0.06008303426448351,0.4516212708549574,6.242408273907626,19.280808109747714
svc_spend,1.7247920027049042,0.02669225218274421,0.3872904665840906,8.760681483377782,16.052297888241313,25.754177470324592,0.06160643718416613,0.44896701429388486,6.401612976437219,19.275539078246116
trans_bath,1.8848472343900897,0.033457515501754395,0.395626344383345,6.143913769442442,18.921808889684872,31.987079213039415,0.06956591627715741,,5.82954471974069,20.16957469936935
trans_military,1.798262048993832,0.03318555147307249,0.3873422055512492,7.038956018557873,17.560136316585023,29.705255087828892,0.07010820716769933,0.47945110328146257,6.252640330032623,19.987023835830882
trump_corr,1.772746847196633,0.03168968897226364,0.391277644346701,7.778121862281897,17.048617683596735,28.438341490372924,0.06726379374522357,0.4616985312604811,89.57803604294541,19.599876169563192
urban_unrest,1.7479823638484748,0.027398141875664157,0.3796594217637903,8.861167241581384,15.784090491281555,24.586318442407915,0.058316787715158386,,6.22816281665373,19.19684498508169
vax_school,1.7076927352466855,0.022585902987399237,0.37318685969148646,8.566290831785398,16.3238038168378,24.51039639531634,0.057125797669230996,0.45279015286359936,9.831247903142994,19.313705655783224
vote_denied,1.7173809262180695,0.02682197690941721,0.38539123990631197,8.04031126054608,16.71900022924854,28.397608168381126,0.0715440785740319,,5.594917791594581,19.357391472404036
voter_id,1.7319825213488804,0.019938190015814053,0.36620653682621196,8.63217059616123,16.070586281336656,27.450075614086945,0.06377062259298974,,5.9759403229662205,19.44517771721692
