VariableName,Description,SurveyQuestion,Href
getaheadv,opinion of how people get ahead (with volunteered response on web),Some people say that people get ahead by their own hard work; others say that lucky breaks or help from other people are more important. Which do you think is most important?,/variables/7589/vshow
givcabnt,how much ought cabinet member make?,"Next, what do you think people in these jobs ought to be paid -- how much do you think they should earn each year before taxes, regardless of what they actually get? Please write in how much they should earn each year. K. A member of the cabinet in the federal government?",/variables/4289/vshow
givclerk,how much ought bank clerk make?,"Next, what do you think people in these jobs ought to be paid -- how much do you think they should earn each year before taxes, regardless of what they actually get? Please write in how much they should earn each year. C. A bank clerk?",/variables/4281/vshow
givdoc,how much ought doctor make?,"Next, what do you think people in these jobs ought to be paid -- how much do you think they should earn each year before taxes, regardless of what they actually get? Please write in how much they should earn each year. B. A doctor in general practice?",/variables/4280/vshow
givexec,how much ought corporate head make?,"Next, what do you think people in these jobs ought to be paid -- how much do you think they should earn each year before taxes, regardless of what they actually get? Please write in how much they should earn each year. E. The chairman of a large national corporation?",/variables/4283/vshow
givunskl,how much ought unskilled worker make?,"Next, what do you think people in these jobs ought to be paid -- how much do you think they should earn each year before taxes, regardless of what they actually get? Please write in how much they should earn each year. J. An unskilled worker in a factory?",/variables/4288/vshow
god,r's confidence in the existence of god,"Please look at this card and tell me which statement comes closest to expressing what you believe about God. I don''t believe in God.....................1 I don''t know whether there is a God and I don''t believe there is any way to find out..................................2 I don''t believe in a personal God, but I do believe in a Higher Power of some kind........................3 I find myself believing in God some of the time, but not at others........4 While I have doubts, I feel that I do believe in God….............................5 I know God really exists and I have no doubts about it...........................6",/variables/1076/vshow
godswill,how likely x s situation caused by god s will,"In your opinion, how likely is it that NAME's situation might be caused by (READ a-f) -- very likely, somewhat likely, not very likely, or not at all likely? F. God's will",/variables/1993/vshow
goodlife,standard of living of r will improve,"The way things are in America, people like me and my family have a good chance of improving our standard of living -- do you agree or disagree?",/variables/4254/vshow
govchrst,the federal government should advocate christian values.,The federal government should advocate Christian values.,/variables/7545/vshow
goveqinc,govmnt should reduce inc differentials,Do you agree or disagree? B. It is the responsibility of the government to reduce the differences in income between people with high incomes and those with low incomes.,/variables/4296/vshow
goveqinc1,govnmnt should fix income differences,To what extent do you agree or disagree with the following statements? It is the responsibility of the government to reduce the differences in income between people with high incomes and those with low incomes.,/variables/7480/vshow
govfnaid,govt should give financial assistance to college students from low-income famili,"The government should give financial assistance to college students from low-income families, even if it might require a tax increase to pay for it",/variables/7554/vshow
govfnanc,govt should finance projects to create new jobs,"The government should finance projects to create new jobs, even if it might require a tax increase",/variables/7552/vshow
govineq1,politicians do not care about reducing inc differences,To what extent do you agree or disagree with the following statement: Most politicians in America do not care about reducing the differences in income between people with high incomes and people with low incomes.,/variables/7507/vshow
govineq2,us govt success in reducing inc differences,How successful do you think the government in America is nowadays in reducing the differences in income between people with high incomes and people with low incomes?,/variables/7508/vshow
govunemp,govmnt should provide unemp benefits,Do you agree or disagree? F. The government should provide a decent standard of living for the unemployed.,/variables/4300/vshow
granborn,how many grandparents born outside u.s.,Were all of your four grandparents born in this country? A. How many were born outside the United States?,/variables/96/vshow
grass,should marijuana be made legal,Do you think the use of marijuana should be made legal or not?,/variables/285/vshow
grncon,concerned about environment,"C. Generally speaking, how concerned are you about environmental issues? Please tell me what you think, where 1 means you are not at all concerned and 5 means you are very concerned.",/variables/4802/vshow
grndemo,protested for envir issue,"In the last five years, have you… C. ...taken part in a protest or demonstration about an environmental issue?",/variables/4776/vshow
grnecon,"worry too much about envir, too little econ","And please check one box for each of these statements to show how much you agree or disagree with it. A. We worry too much about the future of the environment, and not enough about prices and jobs today.",/variables/4725/vshow
grneffme,environment effect everyday life,G2. (How much do you agree or disagree with each of these statements?) Environmental problems have a direct effect on my everyday life.,/variables/4809/vshow
grnexagg,environmental threats exaggerated,How much do you agree or disagree with each of these statements? C. Many of the claims about environmental threats are exaggerated.,/variables/4781/vshow
grngroup,member of envir group,Are you a member of any group whose main aim is to preserve or protect the environment?,/variables/4773/vshow
grnmoney,give money to envir group,"In the last five years, have you… B. ...given money to an environmental group?",/variables/4775/vshow
grnprice,pay higher prices to help envir?,A. How willing would you be to pay much higher prices in order to protect the environment?,/variables/4736/vshow
grnprog,worry too much about progress harming envir,How much do you agree or disagree with each of the following statements. A. People worry too much about human progress harming the environment.,/variables/4729/vshow
grnsign,sign petition on envir issue,"In the last five years, have you… A. ...signed a petition about an environmental issue?",/variables/4774/vshow
grnsol,accept cut in living stnds to help envir?,C. And how willing would you be to accept cuts in your standard of living in order to protect the environment?,/variables/4738/vshow
grntaxes,pay higher taxes to help envir?,B. And how willing would you be to pay much higher taxes in order to protect the environment?,/variables/4737/vshow
grwtharm,econ grwth always harms envir,How much do you agree or disagree with each of the following statements. F. Economic growth always harms the environment.,/variables/4734/vshow
grwthelp,amer needs econ grwth to protect envir,"How much do you agree or disagree with each of the following statements. C. In order to protect the environment, America needs economic growth.",/variables/4731/vshow
gunlaw,favor or oppose gun permits,Would you favor or oppose a law which would require a person to obtain a police permit before he or she could buy a gun?,/variables/272/vshow
hapcohab,happiness of relt with partner,"B. Taking things all together, would you say that your relationship with your partner is very happy, pretty happy, or not too happy?",/variables/436/vshow
hapmar,happiness of marriage,"A. Taking things all together, how would you describe your marriage? Would you say that your marriage is very happy, pretty happy, or not too happy?",/variables/435/vshow
happy,general happiness,"Taken all together, how would you say things are these days--would you say that you are very happy, pretty happy, or not too happy?",/variables/434/vshow
happy7,how happy r is,"If you were to consider your life in general, how happy or unhappy would you say you are, on the whole?",/variables/4451/vshow
harmsgrn,almost everything we do harms envir,And please check one box for each of these statements to show how much you agree or disagree with it. B. Almost everything we do in modern life harms the environment.,/variables/4726/vshow
health,condition of health,"Would you say your own health, in general, is excellent, good, fair, or poor?",/variables/437/vshow
health1,r's health in general,"Would you say that in general your health is Excellent, Very good, Good, Fair, or Poor?",/variables/2826/vshow
height,r is how tall,About how tall are you without shoes? Reported in inches.,/variables/2847/vshow
helpblk,Should govt aid Black people?,"Now look at CARD BF. Some people think that Black people have been discriminated against for so long that the government has a special obligation to help improve their living standards. Others believe that the government should not be giving special treatment to Black people.A. Where would you place yourself on this scale, or haven't you made up your mind on this?",/variables/847/vshow
helpful,people helpful or looking out for selves,"Would you say that most of the time people try to be helpful, or that they are mostly just looking out for themselves?",/variables/439/vshow
helpfulnv,people helpful or looking out for selves (no volunteered response on web),"Would you say that most of the time people try to be helpful, or that they are mostly just looking out for themselves?",/variables/7611/vshow
helpfulv,people helpful or looking out for selves (with volunteered response on web),"Would you say that most of the time people try to be helpful, or that they are mostly just looking out for themselves?",/variables/7591/vshow
helpharm,way living helps or harms,G1. (How much do you agree or disagree with each of these statements?) I find it hard to know whether the way I live is helpful or harmful to the environment.,/variables/4808/vshow
helpnot,should govt do more or less?,"Now look at CARD BD. Some people think that the government in Washington is trying to do too many things that should be left to individuals and private businesses. Others disagree and think that the government should Do even more to solve our country's problems. Still others have opinions somewhere in between. A. Where would you place yourself on this scale, or haven't you made up your mind on this?",/variables/845/vshow
helpoth,to help others,"If you had to choose, which thing on this list would you pick as the most important for a child to learn to prepare him or her for life? [INTERVIEWER: READ CHOICES] A. Which comes next in importance? B. Which comes third? C. Which comes fourth? 5. To help others when they need help",/variables/517/vshow
helppoor,should govt improve standard of living?,"I'd like to talk with you about issues some people tell us are important. Please look at CARD BC. Some people think that the government in Washington should do everything possible to improve the standard of living of all poor Americans; they are at Point 1 on this card. Other people think it is not the government's responsibility, and that each person should take care of himself; they are at Point 5. A. Where would you place yourself on this scale, or haven't you have up your mind on this?",/variables/844/vshow
helpsick,should govt help pay for medical care?,"Look at CARD BE. In general, some people think that it is the responsibility of the government in Washington to see to it that people have help in paying for doctors and hospital bills. Others think that these matters are not the responsibility of the federal government and that people should take care of these things themselves. A. Where would you place yourself on this scale, or haven't you made up your mind on this?",/variables/846/vshow
hhclean1,who does household cleaning,"In your household who does the following things...? Is it always you, usually you, about equal or both together, usually your [spouse/partner], always your [spouse/partner], or by a third person? Does the household cleaning?",/variables/4473/vshow
hispanic,hispanic specified,"IF R IS FEMALE, READ LATINA; IF MALE, READ LATINO. Are you Spanish, Hispanic, or Latino/Latina? Yes . . . . . (ASK A) No . . . . . . (GO TO NEXT QUESTION) IF YES: Which group are you from? Mexican, Mexican American, Chicano/Chicana Puerto Rican Cuban Other As of 2024, HISPANIC has been recoded to remove certain sensitive categories. This has been retroactively applied to all previous years of HISPANIC. The original HISPANIC containing data from 2000 to 2022 has been renamed HISPANIC_0022.",/variables/5276/vshow
hivtest,have you ever been tested for hiv,Have you ever been tested for HIV? Do not count tests you may have had as part of a blood donation. Include oral test (where they take a swab from your mouth).,/variables/5074/vshow
hivtest1,in what month and year was your last hiv test,"Have you ever been tested for HIV? Do not count tests you may have had as part of a blood donation. Include oral test (where they take a swab from your mouth). A. Not including blood donations, in what month and year was your last HIV test? As of 2024, HIVTEST1 accounts for only the year in which the respondent tested for HIV and the variable has been slightly adjusted to help protect confidentiality. Please see the 2024 codebook for more information. The original HIVTEST1 containing data from 2006 to 2022 has been renamed HIVTEST1_0622.",/variables/5075/vshow
hivtest2,where did you have your last hiv test,"Have you ever been tested for HIV? Do not count tests you may have had as part of a blood donation. Include oral test (where they take a swab from your mouth). B. Where did you have your last HIV test – at a private doctor or HMO office, at a counselling and testing site, at a hospital, at a clinic, in a jail or prison, at home, or somewhere else? As of 2024, HIVTEST2 has been recoded to only account for seven categories by combining jail, home, and drug treatment facility into ""Somewhere else."" This has been retroactively applied to all previous years of HIVTEST2. The original HIVTEST2 containing data from 2006 to 2022 has been renamed HIVTEST2_0622.",/variables/5076/vshow
hlpequip,enough help and equip to ge the job done,"Now I''m going to read you another list of statements about your main job. For each, please tell me if the statement is very true, somewhat true, not too true, or not at all true with respect to the work you do. C. I receive enough help and equipment to get the job done",/variables/2798/vshow
hlthdays,days of activity limitation past 30 days,"C. During the past 30 days, for about how many days did your poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?",/variables/2829/vshow
hlthgov,GOVT SHOULD PROVIDE ONLY LIMITED HEALTH CARE,(How much do you agree or disagree with the following statements?) The government should provide only limited health care services.,/variables/7792/vshow
homekid,most women really want a home and kids,"Do you agree or disagree ... E. A job is alright, but what most women really want is a home and children.",/variables/4347/vshow
homosex,homosexual sex relations,"What about sexual relations between two adults of the same sex--do you think it is always wrong, almost always wrong, wrong only sometimes, or not wrong at all?",/variables/634/vshow
hompop,number of persons in household,"Household Size and Composition (see Appendix D: Recodes, for information about these variables) As of 2024, HOMPOP has been calculated to only account for 0 to 14+ people in the household. This has been retroactively applied to all previous years of HOMPOP. The original HOMPOP containing data from 1972 to 2022 has been renamed HOMPOP_7222.",/variables/97/vshow
housewrk,being housewife as fulfilling as paid work,Do you agree or disagree ... F. Being a housewife is just as fulfilling as working for pay.,/variables/4348/vshow
hrs1,number of hours worked last week,"Last week were you working full time, part time, going to school, keeping house, or what? A. IF WORKING, FULL OR PART TIME: How many hours did you work last week, at all jobs?",/variables/4/vshow
hrs2,number of hours usually work a week,"Last week were you working full time, part time, going to school, keeping house, or what? B. IF WITH A JOB, BUT NOT AT WORK: How many hours a week do you usually work, at all jobs?",/variables/5/vshow
hrsrelax,hours per day r have to relax,"After an average work day, about how many hours do you have to relax or pursue activities that you enjoy?",/variables/2772/vshow
hubbywk1,men should earn money women keep house,"And, do you agree or disagree . . . A. A man''s job is to earn money; a woman''s job is to look after the home and family.",/variables/4402/vshow
hunt,does r or spouse hunt,A. Do you (or does your [husband/wife]) go hunting? CIRCLE ONLY ONE CODE.,/variables/688/vshow
hurtoth,how likely x violent toward other people,"In your opinion, how likely is it NAME would do something violent toward other people? Is it:",/variables/2009/vshow
hurtself,how likely x violent toward oneself,"In your opinion, how likely is it NAME would do something violent toward him/herself? Is it:",/variables/2010/vshow
hyperten,told have hypertension or high blood pressure,"Now I would like to ask you some questions about general health conditions. Has a doctor, nurse, or other health professional EVER told you that you had: A. Hypertension or high blood pressure?",/variables/2842/vshow
idu30,r inject drugs in past 30 days,"How long has it been since you last used a needle to inject drugs? As of 2024, IDU30 will only be available as restricted data, beginning with R2.",/variables/5071/vshow
ihlpgrn,do what i can to help envir,"(How much do you agree or disagree with each of these statements?) I do what is right for the environment, even when it costs more money or takes more time",/variables/4740/vshow
imbalnce,how likely x s situation caused by imbalance in brain,"In your opinion, how likely is it that NAME's situation might be caused by (READ a-f) -- very likely, somewhat likely, not very likely, or not at all likely? B. A chemical imbalance in the brain",/variables/1989/vshow
immcrime,immigrants increase crime rates,"There are different opinions about immigrants from other countries living in America. (By ""immigrants"" we mean people who come to settle in America.) How much do you agree or disagree with each of the following statements? A. Immigrants increase crime rates",/variables/4859/vshow
immjobs,immigrants take jobs away,"There are different opinions about immigrants from other countries living in America. (By ""immigrants"" we mean people who come to settle in America.) How much do you agree or disagree with each of the following statements? C. Immigrants take jobs away from people who were born in America",/variables/4861/vshow
impgrn,more important in life than save environment,How much do you agree or disagree with each of these statements? A. There are more important things to do in life than protect the environment.,/variables/4779/vshow
imports,america should limit the import,How much do you agree or disagree with the following statements? A. America should limit the import of foreign products in order to protect its national economy,/variables/4850/vshow
imprvown,how likely x s situation will improve on its own,"In your opinion, how likely is it that NAME's situation will improve on its own -- very likely, somewhat likely, somewhat unlikely, or not likely at all?",/variables/2001/vshow
imprvtrt,how likely x s situation will improve with treatment,"In your opinion, how likely is it that NAME's situation will improve with treatment -- very likely, somewhat likely, somewhat unlikely, or not likely at all?",/variables/2002/vshow
incgap,income differentials in usa too big,Do you agree or disagree? A. Differences in income in America are too large.,/variables/4295/vshow
incom16,r's family income when 16 yrs old,"Thinking about the time when you were 16 years old, compared with American families in general then, would you say your family income was--far below average, below average, average, above average, or far above average? (PROBE: Just your best guess.)",/variables/93/vshow
income,total family income,"In which of these groups did your total family income, from all sources, fall last year before taxes, that is? Just tell me the letter.",/variables/104/vshow
indus10,r's industry code (naics 2007),"Respondent's Occupation, Prestige, and Industry",/variables/17/vshow
inequal5,pay differences -> american prosperity,Do you agree or disagree . . . E. Large differences in income are necessary for America''s prosperity.,/variables/4260/vshow
inteduc,interested in local school issues,"Local school issues. (Are you very interested, moderately interested, or not at all interested?)",/variables/3454/vshow
intlhsps,unintelligent - intelligent,"Now I have some questions about different groups in our society. I'm going to show you a seven-point scale on which the characteristics of people in a group can be rated. In the first statement a score of 1 means that you think almost all of the people in that group are ""rich."" A score of 7 means that you think almost everyone in the group are ""poor."" A score of 4 means you think that the group is not towards one end or another, and of course you may choose any number In between that comes closest to where you think people in the group stand. D. Do people in these groups tend to be unintelligent or tend to be intelligent? 5. Hispanic Americans?",/variables/1200/vshow
intlwhts,unintelligent -intelligent,"Now I have some questions about different groups in our society. I'm going to show you a seven-point scale on which the characteristics of people in a group can be rated. In the first statement a score of 1 means that you think almost all of the people in that group are ""rich."" A score of 7 means that you think almost everyone in the group are ""poor."" A score of 4 means you think that the group is not towards one end or another, and of course you may choose any number In between that comes closest to where you think people in the group stand. D. Do people in these groups tend to be unintelligent or tend to be intelligent? 1. Where would you rate whites in general on this scale?",/variables/1196/vshow
intsci,interested in new scientific discoveries,"Issues about new scientific discoveries. (Are you very interested, moderately interested, or not at all interested?)",/variables/3455/vshow
inttech,interested in technologies,"Issues about the use of new inventions and technologies. (Are you very interested, moderately interested, or not at all interested?)",/variables/3457/vshow
jew,what sort of jew r is,"B. Do you consider yourself Orthodox, Conservative, Reform or none of these? (PROBE FOR EXACT DENOMINATION)",/variables/291/vshow
jew16,what sort of jew r was at age 16,"Were you raised as a Jew? A. Were you Orthodox, Conservative, Reform, or none of these? (PROBE FOR EXACT DENOMINATION)",/variables/345/vshow
jobfind,could r find equally good job,"B. About how easy would it be for you to find a job with another employer with approximately the same income and fringe benefits you now have? Would you say very easy, somewhat easy, or not easy at all?",/variables/547/vshow
jobfind1,how easy for r to find a same job,How easy would it be for you to find a job with another employer with approximately the same income and fringe benefits as you have now?,/variables/2819/vshow
joblose,is r likely to lose job,"A. Thinking about the next 12 months, how likely do you think it is that you will lose your job or be laid off--very likely, fairly likely, not too likely, or not at all likely?",/variables/546/vshow
jobvsfa1,how often jobtakes too much time to fulfill family resp,How often has each of the following happened to you during the past three months? B. It has been difficult for you to fulfil your family responsibilities because of the amount of time you spent on your job.,/variables/4476/vshow
kidnofre,kids interfere with parents' freedom,Do you agree or disagree ... C. Having children interferes too much with the freedom of parents.,/variables/4382/vshow
kidsocst,having children increases social standing in society,To what extent do you agree or disagree with the following statements? E. Having children increases people’s social standing in society.,/variables/4461/vshow
kidssol,r's kids living standard compared to r,"B. When your children are at the age you are now, do you think their standard of living will be much better, somewhat better, about the same, somewhat worse, or much worse than yours is now?",/variables/587/vshow
laidoff,r was laid off main job last year,Were you laid off your main job at any time in the last year?,/variables/2818/vshow
laundry1,who in household does laundry,In your household who does the following things...? A. Does the laundry?,/variables/4429/vshow
ldctax,rich countries pay tax to help poor countries,"Turning to international differences, do you agree or disagree: B. People in wealthy countries should make an additional tax contribution to help people in poor countries.",/variables/4325/vshow
letdie1,allow incurable patients to die,"When a person has a disease that cannot be cured, do you think Doctors should be allowed by law to end the patient''s life by some painless means if the patient and his family request it?",/variables/647/vshow
letdie1y,allow incurable patients to die (form 2),"When a person has a disease that cannot be cured, do you think doctors should or should not be allowed by law to end the patient’s life by some painless means if the patient and his family request it?",/variables/5573/vshow
libath,allow anti-religious book in library,"There are always some people whose ideas are considered bad or dangerous by other people. For instance, somebody who is against all churches and religion . . . C. If some people in your community suggested that a book he wrote against churches and religion should be taken out of your public library, would you favor removing this book, or not?",/variables/248/vshow
libathy,allow anti-religionist to teach y,"(There are always some people whose ideas are considered bad or dangerous by other people. For instance, somebody who is against all churches and religion…) If some people in your community suggested that a book this person wrote against churches and religion should be taken out of your public library, would you favor removing this book, or not?",/variables/7435/vshow
libcom,allow communists book in library,"Now, I should like to ask you some questions about a man who admits he is a Communist. C. Suppose he wrote a book which is in your public library. Somebody in your community suggests that the book should be removed from the library. Would you favor removing it, or not?",/variables/257/vshow
libhomo,allow homosexuals book in library,"And what about a man who admits that he is a homosexual? C. If some people in your community suggested that a book he wrote in favor of homosexuality should be taken out of your public library, would you favor removing this book, or not?",/variables/263/vshow
libmil,allow militarists book in library,"Consider a person who advocates doing away with elections and letting the military run the country. C. Suppose he wrote a book advocating doing away with elections and letting the military run the country. somebody in your community suggests that the book be removed from the public library. Would you favor removing it, or not?",/variables/260/vshow
libmslm,allow anti-american muslim clergymen's books in library,"Now consider a Muslim clergyman who preaches hatred of the United States. C. If some people in your community suggested that a book he wrote which preaches hatred of the United States should be taken out of your public library, would you favor removing this book, or not?",/variables/266/vshow
librac,allow racists book in library,"Or consider a person who believes that Black people are genetically inferior.C. If some people in your community suggested that a book he wrote which said Black people are inferior should be taken out of your public library, would you favor removing this book, or not?",/variables/254/vshow
life,is life exciting or dull,"In general, do you find life exciting, pretty routine, or dull?",/variables/438/vshow
madeg,Mother's (or youngest same-sex parent's) highest degree,RESPONDENT'S MOTHER'S (SUBSTITUTE MOTHER'S) DEGREE,/variables/61/vshow
maeduc,"Highest year school completed, mother (or youngest same-sex parent)",RESPONDENT'S MOTHER'S (SUBSTITUTE MOTHER'S) EDUCATION,/variables/57/vshow
maind10,mothers industry code (naics 2007),"A. What kind of work did your (mother/MOTHER SUBSTITUTE) usually do while you were growing up? That is, what was her job called? OCCUPATION: [See REMARKS] B. IF NOT ALREADY ANSWERED, ASK: What did she actually do in that job? Tell me, what were some of her main duties? C. What kind of place did she work for? INDUSTRY: [See REMARKS] D. IF NOT ALREADY ANSWERED, ASK: What did they (make/do)? E. IF ALREADY ANSWERED, CODE WITHOUT ASKING: Was she self-employed, or did she work for someone else?",/variables/50/vshow
major1,college major 1,"What was your major or field of study when you received your (RESPONDENT'S COLLEGE DEGREE) degree? As of 2024, MAJOR1 has been recoded to only account for 39 categories. This has been retroactively applied to all previous years of MAJOR1. The original MAJOR1 containing data from 2012 to 2022 has been renamed MAJOR1_1222.",/variables/63/vshow
major2,college major 2,"What was your major or field of study when you received your (RESPONDENT'S COLLEGE DEGREE) degree? As of 2024, MAJOR2 has been recoded to only account for 39 categories. This has been retroactively applied to all previous years of MAJOR2. The original MAJOR2 containing data from 2012 to 2022 has been renamed MAJOR2_1222.",/variables/64/vshow
maocc10,mothers census occupation code (2010),"A. What kind of work did your (mother/MOTHER SUBSTITUTE) usually do while you were growing up? That is, what was her job called? OCCUPATION: [See REMARKS] B. IF NOT ALREADY ANSWERED, ASK: What did she actually do in that job? Tell me, what were some of her main duties? C. What kind of place did she work for? INDUSTRY: [See REMARKS] D. IF NOT ALREADY ANSWERED, ASK: What did they (make/do)? E. IF ALREADY ANSWERED, CODE WITHOUT ASKING: Was she self-employed, or did she work for someone else?",/variables/49/vshow
mar1,marital status of 1st person,"Please tell me the names of the people who usually live in this household. Let's start with the head of the household. [LIST ON LINES 01-10 BELOW.] Have we forgotten anyone: such as babies or small children; roomers; people who usually live here, but are away temporarily--on business trips, vacations, at school, temporarily in a hospital, and so on? [LIST ADDITIONAL PERSONS ON LINES 01-10 BELOW.] Are there any people currently staying here--visitors, friends or relatives--do not usually live here? [LIST VISITORS ON LINES 11-14 BELOW.] A. What is that [PERSON'S] relationship to the HEAD OF HOUSEHOLD? B. Code sex. [ASK IF NOT OBVIOUS]. C. How old was [HEAD/PERSON] on (his/her) last birthday? D. IF 13 YRS OR OLDER ASK: Is [PERSON] now married, widowed, divorced, separated, or has (he/she) never been married? E. Are any of the people we have listed staying somewhere else right now? If yes, who is staying somewhere else right now? F. Where is [PERSON] staying right now? Is [PERSON] staying at another household; Is (he/she) traveling; Is (he/she) in some institution or dormitory--like at college or in a hospital or something; or what? 4. Marital status of first person",/variables/5335/vshow
mar10,marital status of 10th person,"Please tell me the names of the people who usually live in this household. Let's start with the head of the household. [LIST ON LINES 01-10 BELOW.] Have we forgotten anyone: such as babies or small children; roomers; people who usually live here, but are away temporarily--on business trips, vacations, at school, temporarily in a hospital, and so on? [LIST ADDITIONAL PERSONS ON LINES 01-10 BELOW.] Are there any people currently staying here--visitors, friends or relatives--do not usually live here? [LIST VISITORS ON LINES 11-14 BELOW.] A. What is that [PERSON'S] relationship to the HEAD OF HOUSEHOLD? B. Code sex. [ASK IF NOT OBVIOUS]. C. How old was [HEAD/PERSON] on (his/her) last birthday? D. IF 13 YRS OR OLDER ASK: Is [PERSON] now married, widowed, divorced, separated, or has (he/she) never been married? E. Are any of the people we have listed staying somewhere else right now? If yes, who is staying somewhere else right now? F. Where is [PERSON] staying right now? Is [PERSON] staying at another household; Is (he/she) traveling; Is (he/she) in some institution or dormitory--like at college or in a hospital or something; or what? 4. Marital status of tenth person",/variables/5389/vshow
mar11,marital status of 11th person (visitor),"Please tell me the names of the people who usually live in this household. Let's start with the head of the household. [LIST ON LINES 01-10 BELOW.] Have we forgotten anyone: such as babies or small children; roomers; people who usually live here, but are away temporarily--on business trips, vacations, at school, temporarily in a hospital, and so on? [LIST ADDITIONAL PERSONS ON LINES 01-10 BELOW.] Are there any people currently staying here--visitors, friends or relatives--do not usually live here? [LIST VISITORS ON LINES 11-14 BELOW.] A. What is that [PERSON'S] relationship to the HEAD OF HOUSEHOLD? B. Code sex. [ASK IF NOT OBVIOUS]. C. How old was [HEAD/PERSON] on (his/her) last birthday? D. IF 13 YRS OR OLDER ASK: Is [PERSON] now married, widowed, divorced, separated, or has (he/she) never been married? E. Are any of the people we have listed staying somewhere else right now? If yes, who is staying somewhere else right now? F. Where is [PERSON] staying right now? Is [PERSON] staying at another household; Is (he/she) traveling; Is (he/she) in some institution or dormitory--like at college or in a hospital or something; or what? 4. Marital status of eleventh person",/variables/5395/vshow
mar12,marital status of 12th person (visitor),"Please tell me the names of the people who usually live in this household. Let's start with the head of the household. [LIST ON LINES 01-10 BELOW.] Have we forgotten anyone: such as babies or small children; roomers; people who usually live here, but are away temporarily--on business trips, vacations, at school, temporarily in a hospital, and so on? [LIST ADDITIONAL PERSONS ON LINES 01-10 BELOW.] Are there any people currently staying here--visitors, friends or relatives--do not usually live here? [LIST VISITORS ON LINES 11-14 BELOW.] A. What is that [PERSON'S] relationship to the HEAD OF HOUSEHOLD? B. Code sex. [ASK IF NOT OBVIOUS]. C. How old was [HEAD/PERSON] on (his/her) last birthday? D. IF 13 YRS OR OLDER ASK: Is [PERSON] now married, widowed, divorced, separated, or has (he/she) never been married? E. Are any of the people we have listed staying somewhere else right now? If yes, who is staying somewhere else right now? F. Where is [PERSON] staying right now? Is [PERSON] staying at another household; Is (he/she) traveling; Is (he/she) in some institution or dormitory--like at college or in a hospital or something; or what? 4. Marital status of twelfth person",/variables/5401/vshow
mar13,marital status of 13th person (visitor),"Please tell me the names of the people who usually live in this household. Let's start with the head of the household. [LIST ON LINES 01-10 BELOW.] Have we forgotten anyone: such as babies or small children; roomers; people who usually live here, but are away temporarily--on business trips, vacations, at school, temporarily in a hospital, and so on? [LIST ADDITIONAL PERSONS ON LINES 01-10 BELOW.] Are there any people currently staying here--visitors, friends or relatives--do not usually live here? [LIST VISITORS ON LINES 11-14 BELOW.] A. What is that [PERSON'S] relationship to the HEAD OF HOUSEHOLD? B. Code sex. [ASK IF NOT OBVIOUS]. C. How old was [HEAD/PERSON] on (his/her) last birthday? D. IF 13 YRS OR OLDER ASK: Is [PERSON] now married, widowed, divorced, separated, or has (he/she) never been married? E. Are any of the people we have listed staying somewhere else right now? If yes, who is staying somewhere else right now? F. Where is [PERSON] staying right now? Is [PERSON] staying at another household; Is (he/she) traveling; Is (he/she) in some institution or dormitory--like at college or in a hospital or something; or what? 4. Marital status of thirteenth person",/variables/5407/vshow
mar14,marital status of 14th person (visitor),"Please tell me the names of the people who usually live in this household. Let's start with the head of the household. [LIST ON LINES 01-10 BELOW.] Have we forgotten anyone: such as babies or small children; roomers; people who usually live here, but are away temporarily--on business trips, vacations, at school, temporarily in a hospital, and so on? [LIST ADDITIONAL PERSONS ON LINES 01-10 BELOW.] Are there any people currently staying here--visitors, friends or relatives--do not usually live here? [LIST VISITORS ON LINES 11-14 BELOW.] A. What is that [PERSON'S] relationship to the HEAD OF HOUSEHOLD? B. Code sex. [ASK IF NOT OBVIOUS]. C. How old was [HEAD/PERSON] on (his/her) last birthday? D. IF 13 YRS OR OLDER ASK: Is [PERSON] now married, widowed, divorced, separated, or has (he/she) never been married? E. Are any of the people we have listed staying somewhere else right now? If yes, who is staying somewhere else right now? F. Where is [PERSON] staying right now? Is [PERSON] staying at another household; Is (he/she) traveling; Is (he/she) in some institution or dormitory--like at college or in a hospital or something; or what? 4. Marital status of fourteenth person",/variables/5413/vshow
mar2,marital status of 2nd person,"Please tell me the names of the people who usually live in this household. Let's start with the head of the household. [LIST ON LINES 01-10 BELOW.] Have we forgotten anyone: such as babies or small children; roomers; people who usually live here, but are away temporarily--on business trips, vacations, at school, temporarily in a hospital, and so on? [LIST ADDITIONAL PERSONS ON LINES 01-10 BELOW.] Are there any people currently staying here--visitors, friends or relatives--do not usually live here? [LIST VISITORS ON LINES 11-14 BELOW.] A. What is that [PERSON'S] relationship to the HEAD OF HOUSEHOLD? B. Code sex. [ASK IF NOT OBVIOUS]. C. How old was [HEAD/PERSON] on (his/her) last birthday? D. IF 13 YRS OR OLDER ASK: Is [PERSON] now married, widowed, divorced, separated, or has (he/she) never been married? E. Are any of the people we have listed staying somewhere else right now? If yes, who is staying somewhere else right now? F. Where is [PERSON] staying right now? Is [PERSON] staying at another household; Is (he/she) traveling; Is (he/she) in some institution or dormitory--like at college or in a hospital or something; or what? 4. Marital status of second person",/variables/5341/vshow
