VariableName,Description,SurveyQuestion,Href
away8,is 8th person staying somewhere else now?,"Please tell me the names of the people who usually live in this household. Let's start with the head of the household. [LIST ON LINES 01-10 BELOW.] Have we forgotten anyone: such as babies or small children; roomers; people who usually live here, but are away temporarily--on business trips, vacations, at school, temporarily in a hospital, and so on? [LIST ADDITIONAL PERSONS ON LINES 01-10 BELOW.] Are there any people currently staying here--visitors, friends or relatives--do not usually live here? [LIST VISITORS ON LINES 11-14 BELOW.] A. What is that [PERSON'S] relationship to the HEAD OF HOUSEHOLD? B. Code sex. [ASK IF NOT OBVIOUS]. C. How old was [HEAD/PERSON] on (his/her) last birthday? D. IF 13 YRS OR OLDER ASK: Is [PERSON] now married, widowed, divorced, separated, or has (he/she) never been married? E. Are any of the people we have listed staying somewhere else right now? If yes, who is staying somewhere else right now? F. Where is [PERSON] staying right now? Is [PERSON] staying at another household; Is (he/she) traveling; Is (he/she) in some institution or dormitory--like at college or in a hospital or something; or what? 5. Is the eighth person staying somewhere else right now?",/variables/5378/vshow
away9,is 9th person staying somewhere else now?,"Please tell me the names of the people who usually live in this household. Let's start with the head of the household. [LIST ON LINES 01-10 BELOW.] Have we forgotten anyone: such as babies or small children; roomers; people who usually live here, but are away temporarily--on business trips, vacations, at school, temporarily in a hospital, and so on? [LIST ADDITIONAL PERSONS ON LINES 01-10 BELOW.] Are there any people currently staying here--visitors, friends or relatives--do not usually live here? [LIST VISITORS ON LINES 11-14 BELOW.] A. What is that [PERSON'S] relationship to the HEAD OF HOUSEHOLD? B. Code sex. [ASK IF NOT OBVIOUS]. C. How old was [HEAD/PERSON] on (his/her) last birthday? D. IF 13 YRS OR OLDER ASK: Is [PERSON] now married, widowed, divorced, separated, or has (he/she) never been married? E. Are any of the people we have listed staying somewhere else right now? If yes, who is staying somewhere else right now? F. Where is [PERSON] staying right now? Is [PERSON] staying at another household; Is (he/she) traveling; Is (he/she) in some institution or dormitory--like at college or in a hospital or something; or what? 5. Is the ninth person staying somewhere else right now?",/variables/5384/vshow
babies,household members less than 6 yrs old,"Household Size and Composition (see Appendix D: Recodes, for information about these variables). A. NUMBER OF MEMBERS UNDER 6 YEARS OLD: As of 2024, BABIES has been recoded to only account for 0 to 2+ children younger than 6 in the household. This has been retroactively applied to all previous years of BABIES. The original BABIES containing data from 1972 to 2022 has been renamed BABIES_7222.",/variables/98/vshow
backpain,r had back pain in the past 12 months,"A. In the past 12 months, have you had back pain every day for a week or more?",/variables/2831/vshow
balneg,sci research is strongly in favor of harmful results,"Now for another type of question. People have frequently noted that scientific research has produced benefits and harmful results. Would you say that, on balance, the benefits of scientific research have outweighed the harmful results, or have the harmful results of scientific research been greater than its benefits? B. Would you say that the balance has been strongly in favor of the harmful results, or only slightly?",/variables/3327/vshow
balpos,sci research is strongly in favor of benefits,"Now for another type of question. People have frequently noted that scientific research has produced benefits and harmful results. Would you say that, on balance, the benefits of scientific research have outweighed the harmful results, or have the harmful results of scientific research been greater than its benefits? A. Would you say that the balance has been strongly in favor of the benefits, or only slightly?",/variables/3326/vshow
betrlang,which language r speaks more fluent,B. Which language do you speak more fluent?,/variables/2302/vshow
bible,feelings about the bible,"A. Which of these statements comes closest to describing your feelings about the Bible? READ FIRST THREE STATEMENTS [(a)-(c)] ONLY. CIRCLE ONLY ONE CODE. a. The Bible is the actual word of God and is to be taken literally, word for word .....1nb. The Bible is the inspired word of God but not everything in it should be taken literally, word for word ..... .2nc.The Bible is an ancient book of fables, legends, history, and moral precepts recorded by men ......3",/variables/364/vshow
born,was r born in this country,Were you born in this country?,/variables/94/vshow
breakdwn,how likely x is experiencing nervous breakdown,"In your opinion, how likely is it that NAME is experiencing (READ A-E) -- very likely, somewhat likely, not very likely, or not at all likely? (IN PART E, READ ONLY THE PHRASE FOLLOWING THE LETTER OF THE VIGNETTE) B. A nervous breakdown",/variables/1995/vshow
busgrn,u.s. business to protect environment,I. Which of these approaches do you think would be the best way of getting business and industry in America to protect the environment?,/variables/4811/vshow
buyvalue,percent of company stock r bought from own money,Approximately what percent of the company stock that you own today did you buy with your own savings or money from your wages?,/variables/3551/vshow
cappun,favor or oppose death penalty for murder,Do you favor or oppose the death penalty for persons convicted of murder?,/variables/268/vshow
carecost,who should pay for costs of care for under school age child,Who do you think should primarily cover the costs of childcare for children under school age?,/variables/4470/vshow
careprov,who should provide childcare for under school age child,People have different views on childcare for children under school age. Who do you think should primarily provide childcare?,/variables/4469/vshow
caresik1,who in household cares for sick in family,In your household who does the following things...? C. Cares for sick family members?,/variables/4431/vshow
carsgen,car pollution danger to envir,"Please check one box for each of the questions below to show what you think. A. In general, do you think that air pollution caused by cars is…",/variables/4753/vshow
charactr,how likely x s situation caused by bad character,"In your opinion, how likely is it that NAME's situation might be caused by (READ a-f) -- very likely, somewhat likely, not very likely, or not at all likely? A. His/her own bad character",/variables/1988/vshow
childs,number of children,How many children have you ever had? Please count all that were born alive at any time (including any you had from a previous marriage).,/variables/52/vshow
chldidel,ideal number of children,What do you think is the ideal number of children for a family to have?,/variables/619/vshow
chngtme,how often r allowed change schedule,How often are you allowed to change your starting and quitting times on a daily basis?,/variables/2766/vshow
coden,partner's denomination,"What is your (PARTNER'S) religious preference? Is it Protestant, Catholic, Jewish, some other religion, or no religion? A. What specific denomination is that, if any? As of 2024, CODEN has been recoded to only account for seven broad denomination categories. This has been retroactively applied to all previous years of CODEN. The original CODEN containing data from 2012 to 2022 has been renamed CODEN_1222.",/variables/6170/vshow
cofund,how fundamentalist is partner's current religion,"Fundamentalism/Liberalism of Partner's Religion NOTE: See GSS Methodological Report No. 43. If planning to perform trend analysis with this variable, please consult GSS Methodological Report No. 56.",/variables/6173/vshow
cohabok,living together as an acceptable option,Do you agree or disagree . . . B. It is alright for a couple to live together without intending to get married.,/variables/4406/vshow
colath,allow anti-religionist to teach,"There are always some people whose ideas are considered bad or dangerous by other people. For instance, somebody who is against all churches and religion . . . B. Should such a person be allowed to teach in a college or university, or not?",/variables/247/vshow
colcom,should communist teacher be fired,"Now, I should like to ask you some questions about a man who admits he is a Communist. B. Suppose he is teaching in a college. Should he be fired, or not?",/variables/256/vshow
colhomo,allow homosexual to teach,"And what about a man who admits that he is a homosexual? B. Should such a person be allowed to teach in a college or university, or not?",/variables/262/vshow
colmil,allow militarist to teach,"Consider a person who advocates doing away with elections and letting the military run the country. B. Should such a person be allowed to teach in a college or university, or not?",/variables/259/vshow
colmslm,allow anti-american muslim clergymen teaching in college,"Now consider a Muslim clergyman who preaches hatred of the United States. B. Should such a person be allowed to teach in a college or university, or not?",/variables/265/vshow
colrac,allow racist to teach,"Or consider a person who believes that Black people are genetically inferior....B. Should such a person be allowed to teach in a college or university, or not?",/variables/253/vshow
compuse,r use computer,"Do you personally ever use a computer at home, at work, or at some other location?",/variables/2378/vshow
compwage,annual wages in previous year were higher than same jobs in other companies,Do you believe your fixed annual wages in calendar year 2005 were higher or lower than those of employees with similar experience and job descriptions in other companies in your region? Please answer on a 1 to 5 scale.,/variables/3554/vshow
conage,conflict between young and old,"In all countries, there are differences or conflicts between different social groups. In your opinion, in America, how much conflict is there between . . . G. Young people and older people?",/variables/4312/vshow
conarmy,confidence in military,"I am going to name some institutions in this country. As far as the people running these institutions are concerned, would you say you have a great deal of confidence, only some confidence, or hardly any confidence at all in them? READ EACH ITEM; CODE ONE FOR EACH. M. Military",/variables/460/vshow
conbus,confidence in major companies,"I am going to name some institutions in this country. As far as the people running these institutions are concerned, would you say you have a great deal of confidence, only some confidence, or hardly any confidence at all in them? READ EACH ITEM; CODE ONE FOR EACH. B. Major companies",/variables/449/vshow
conclass,working and middle classes in conflict?,"In all countries, there are differences or conflicts between different social groups. In your opinion, in America, how much conflict is there between . . . B. The working class and the middle class?",/variables/4307/vshow
conclerg,confidence in organized religion,"I am going to name some institutions in this country. As far as the people running these institutions are concerned, would you say you have a great deal of confidence, only some confidence, or hardly any confidence at all in them? READ EACH ITEM; CODE ONE FOR EACH. C. Organized religion",/variables/450/vshow
condom,used condom last time,"The last time you had sex, was a condom used? By ""sex"" we mean vaginal, oral, or anal sex.",/variables/5068/vshow
coneduc,confidence in education,"I am going to name some institutions in this country. As far as the people running these institutions are concerned, would you say you have a great deal of confidence, only some confidence, or hardly any confidence at all in them? READ EACH ITEM; CODE ONE FOR EACH. D. Education",/variables/451/vshow
confed,confid. in exec branch of fed govt,"I am going to name some institutions in this country. As far as the people running these institutions are concerned, would you say you have a great deal of confidence, only some confidence, or hardly any confidence at all in them? READ EACH ITEM; CODE ONE FOR EACH. E. Executive branch of the federal government",/variables/452/vshow
confinan,confid in banks & financial institutions,"I am going to name some institutions in this country. As far as the people running these institutions are concerned, would you say you have a great deal of confidence, only some confidence, or hardly any confidence at all in them? READ EACH ITEM; CODE ONE FOR EACH. A. Banks and financial institutions",/variables/448/vshow
conjudge,confid. in united states supreme court,"I am going to name some institutions in this country. As far as the people running these institutions are concerned, would you say you have a great deal of confidence, only some confidence, or hardly any confidence at all in them? READ EACH ITEM; CODE ONE FOR EACH. J. U.S. Supreme Court",/variables/457/vshow
conlegis,confidence in congress,"I am going to name some institutions in this country. As far as the people running these institutions are concerned, would you say you have a great deal of confidence, only some confidence, or hardly any confidence at all in them? READ EACH ITEM; CODE ONE FOR EACH. L. Congress",/variables/459/vshow
conunion,workers and management in conflict?,"In all countries, there are differences or conflicts between different social groups. In your opinion, in America, how much conflict is there between . . . D. Management and workers?",/variables/4309/vshow
conwlth,conflict between poor and rich in usa?,"In all countries, there are differences or conflicts between different social groups. In your opinion, in America, how much conflict is there between . . . A. Poor people and rich people?",/variables/4306/vshow
cooking1,who in household prepares the meals,In your household who does the following things...? F. Prepares the meals?,/variables/4434/vshow
courts,courts dealing with criminals,"In general, do you think the courts in this area deal too harshly or not harshly enough with criminals?",/variables/276/vshow
cowrkhlp,coworkers can be relied on when r needs help,"Now I''m going to read you another list of statements about your main job. For each, please tell me if the statement is very true, somewhat true, not too true, or not at all true with respect to the work you do. N. The people I work with can be relied on when I need help",/variables/2809/vshow
crack30,r last use crack cocaine,How long has it been since you last used “crack” cocaine in chunk or rock form?,/variables/5073/vshow
dangroth,x should be admitted to be hospitalized for treatment if dangerous to others,Some cities and states have laws that force people with problems like NAME into treatment. Do you think that people like NAME should be forced by law to... E. Be admitted to a hospital for treatment if s/he is dangerous to others.,/variables/2035/vshow
dangrslf,x should be admitted to be hospitalized for treatment if dangerous to x,Some cities and states have laws that force people with problems like NAME into treatment. Do you think that people like NAME should be forced by law to... D. Be admitted to a hospital for treatment if s/he is dangerous to him/herself.,/variables/2034/vshow
decmoney,how able is x to decide managing own money,"In your opinion, how able is NAME to make his/her own decisions about managing his/her own money -- very able, somewhat able, not very able or not able at all?",/variables/2000/vshow
dectreat,how able is x to decide receive treatment,"In your opinion, how able is NAME to make his/her own decisions about the treatment s/he should receive -- very able, somewhat able, not very able or not able at all?",/variables/1999/vshow
defpensn,r has defined benefit pension plan,B. Do you have a defined benefit pension plan at your company?,/variables/3562/vshow
degree,r's highest degree,RESPONDENT'S DEGREE,/variables/59/vshow
denom,specific denomination,"What is your religious preference? Is it Protestant, Catholic, Jewish, some other religion, or no religion? A. What specific denomination is that, if any? As of 2024, DENOM has been recoded to only account for seven broad denomination categories. This has been retroactively applied to all previous years of DENOM. The original DENOM containing data 1972 to 2022 has been renamed DENOM_7222.",/variables/288/vshow
denom16,denomination in which r was raised,"In what religion were you raised? A. What specific denomination is that, if any? As of 2024, DENOM16 has been recoded to only account for seven broad denomination categories. This has been retroactively applied to all previous years of DENOM16. The original DENOM16 containing data 1973 to 2022 has been renamed DENOM16_7322.",/variables/342/vshow
