VariableName,Description,SurveyQuestion,Href,CodeMapping,ConciseDescription
stress12,stress management program last 12 months,"In the past 12 months, have you participated in any of these stress management or stress reduction programs?",/variables/2841/vshow,1=yes; 2=no,Stress management
tvhours,hours per day watching tv,"On the average day, about how many hours do you personally watch television?",/variables/691/vshow,numeric (0-24; 0=0 hours; 24=24 hours),TV hours/day
usewww,r use www other than email,"Other than for e-mail, do you ever use the Internet or World Wide Web? [INTERVIEWER: TREAT THESE AS THE SAME]",/variables/2383/vshow,1=yes; 2=no,Uses internet
webmob,r uses home internet through mobile device,"B. Do you have access to the Internet or World Wide Web in your home through a Internet-enabled mobile device like a smart phone, PDA, or BlackBerry?",/variables/2380/vshow,1=yes; 2=no,Mobile internet
wrkhome,how often r works at home,How often do you work at home as part of your job?,/variables/2767/vshow,1=never; 2=a few times a year; 3=about once a month; 4=about once a week; 5=more than once a week; 6=worker works mainly at home,Works from home
wrksched,usual work schedule,Which of the following best describes your usual work schedule?,/variables/2763/vshow,1=day shift; 2=afternoon shift; 3=night shift; 4=split shift; 5=irregular shift/on-call; 6=rotating shifts,Work schedule
wwwhr,www hours per week,"Not counting e-mail, about how many minutes or hours per week Do you use the Web? (Include time you spend visiting regular web sites and time spent using interactive Internet services like chat rooms, Usenet groups, discussion forums, bulletin boards, and the like.) A. Hours per week?",/variables/2384/vshow,0=0 hours; 168=168 hours,Web hours/week
wwwmin,www minutes per week,"Not counting e-mail, about how many minutes or hours per week Do you use the Web? (Include time you spend visiting regular web sites and time spent using interactive Internet services like chat rooms, Usenet groups, discussion forums, bulletin boards, and the like.) B. Minutes per week?",/variables/2385/vshow,0=0 minutes; 59=59 minutes,Web minutes/week
xmovie,seen x-rated movie in last year,A. Have you seen an X-rated movie in the last year?,/variables/641/vshow,1=yes; 2=no,Watched X-rated movie
condom,used condom last time,"The last time you had sex, was a condom used? By ""sex"" we mean vaginal, oral, or anal sex.",/variables/5068/vshow,1=used last time; 2=not used,Condom use
cooking1,who in household prepares the meals,In your household who does the following things...? F. Prepares the meals?,/variables/4434/vshow,1=always me; 2=usually me; 3=about equal or both together; 4=usually my spouse/partner; 5=always my spouse/partner; 6=is done by a third person,Meal preparation
helpoth,to help others,"If you had to choose, which thing on this list would you pick as the most important for a child to learn to prepare him or her for life? [INTERVIEWER: READ CHOICES] A. Which comes next in importance? B. Which comes third? C. Which comes fourth? 5. To help others when they need help",/variables/517/vshow,1=most important; 2=2nd important; 3=3rd important; 4=4th important; 5=least important,Value: helping others
hhclean1,who does household cleaning,"In your household who does the following things...? Is it always you, usually you, about equal or both together, usually your [spouse/partner], always your [spouse/partner], or by a third person? Does the household cleaning?",/variables/4473/vshow,1=always me; 2=usually me; 3=about equal or both together; 4=usually my spouse/partner; 5=always my spouse/partner; 6=is done by a third person,Household cleaning
laundry1,who in household does laundry,In your household who does the following things...? A. Does the laundry?,/variables/4429/vshow,1=always me; 2=usually me; 3=about equal or both together; 4=usually my spouse/partner; 5=always my spouse/partner; 6=is done by a third person,Laundry
obey,to obey,"If you had to choose, which thing on this list would you pick as the most important for a child to learn to prepare him or her for life? [INTERVIEWER: READ CHOICES] A. Which comes next in importance? B. Which comes third? C. Which comes fourth? 1. To obey",/variables/513/vshow,1=most important; 2=2nd important; 3=3rd important; 4=4th important; 5=least important,Value: obedience
popular,to be well liked or popular,"If you had to choose, which thing on this list would you pick as the most important for a child to learn to prepare him or her for life? [INTERVIEWER: READ CHOICES] A. Which comes next in importance? B. Which comes third? C. Which comes fourth? 2. To be well-liked or popular",/variables/514/vshow,1=most important; 2=2nd important; 3=3rd important; 4=4th important; 5=least important,Value: popularity
reborn,has r ever had a 'born again' experience,"Would you say you have been ""born again"" or have had a ""born again"" experience -- that is, a turning point in your life when you committed yourself to Christ?",/variables/1077/vshow,1=yes; 2=no,Born again
relexp,have religious experience changed life,Did you ever have a religious or spiritual experience that changed your life?,/variables/2122/vshow,1=yes; 2=no,Religious experience
savesoul,tried to convince others to accept jesus,Have you ever tried to encourage someone to believe in Jesus Christ or to accept Jesus Christ as his or her savior?,/variables/1078/vshow,1=yes; 2=no,Evangelized
shop1,who in household shops for groceries,In your household who does the following things...? D. Shops for groceries?,/variables/4432/vshow,1=always me; 2=usually me; 3=about equal or both together; 4=usually my spouse/partner; 5=always my spouse/partner; 6=is done by a third person,Grocery shopping
spanking,favor spanking to discipline child,"Do you strongly agree, agree, disagree, or strongly disagree that it is sometimes necessary to discipline a child with a good, hard spanking?",/variables/646/vshow,1=strongly agree; 2=agree; 3=disagree; 4=strongly disagree,Spanking discipline
thnkself,to think for ones self,"If you had to choose, which thing on this list would you pick as the most important for a child to learn to prepare him or her for life? [INTERVIEWER: READ CHOICES] A. Which comes next in importance? B. Which comes third? C. Which comes fourth? 3. To think for himself or herself",/variables/515/vshow,1=most important; 2=2nd important; 3=3rd important; 4=4th important; 5=least important,Value: independent thinking
vetyears,years in armed forces,Have you ever been on active duty for military training or service for two consecutive months or more? IF YES: What was your total time on active duty?,/variables/5285/vshow,"0=no active duty; 1=yes, less than 2 years; 2=yes, 2-4 years; 3=yes, more than 4 years; 4=some, don't know how long",Military service
workhard,to work hard,"If you had to choose, which thing on this list would you pick as the most important for a child to learn to prepare him or her for life? [INTERVIEWER: READ CHOICES] A. Which comes next in importance? B. Which comes third? C. Which comes fourth? 4. To work hard",/variables/516/vshow,1=most important; 2=2nd important; 3=3rd important; 4=4th important; 5=least important,Value: hard work
wrkgovt1,govt employee,"Are/were you employed by the government? (Please consider federal, state, or local government.)",/variables/7432/vshow,1=yes; 2=no,Government employee
wrkslf,r self-emp or works for somebody,"A. What kind of work do you (did you normally) do? That is, what (is/was) your job called? OCCUPATION: [See REMARKS] B. What (do/did) you actually do in that job? Tell me, what (are/were) some of your main duties? C. What kind of place (do/did) you work for? INDUSTRY: [See REMARKS] D. What (do/did) they (make/do)? E. (Are/Were) you self employed or (do/did) you work for someone else? F. (Are/Were) you employed by the federal, state or local government or by a private employer (including non-profit organizations)? G. About how much time (does/did) it usually take you to travel to work - about how many minutes?",/variables/9/vshow,1=self-employed; 2=someone else,Self-employed
esop,r is member of esop,A. Are you a member of an Employee Stock Ownership Plan commonly called an ESOP?,/variables/3561/vshow,1=yes; 2=no,ESOP member
helpful,people helpful or looking out for selves,"Would you say that most of the time people try to be helpful, or that they are mostly just looking out for themselves?",/variables/439/vshow,1=try to be helpful; 2=looking out for themselves; 3=depends,People are helpful
union,does r or spouse belong to union,Do you (or does your spouse) belong to a labor union?,/variables/584/vshow,"1=yes, respondent belongs; 2=yes, spouse belongs; 3=yes, both belong; 4=no, neither belong",Union member
vote16,did r vote in 2016 presidential election,"In 2016, you remember that Clinton ran for President on the Democratic ticket against Trump for the Republicans. Do you remember for sure whether or not you voted in that election?",/variables/7089/vshow,1=voted; 2=did not vote; 3=ineligible,Voted in 2016
cantrust,can people be trusted,"Generally speaking, would you say that most people can be trusted or that you can't be too careful in dealing with people?",/variables/4686/vshow,1=people can almost always be trusted; 2=people can usually be trusted; 3=you usually can't be too careful in dealing with people; 4=you almost always can't be too careful in dealing with people,People can be trusted
