Variable,Description,SurveyQuestion
gender11,gender of 11th person (visitor),"Please tell me the names of the people who usually live in this household. Let's start with the head of the household. [LIST ON LINES 01-10 BELOW.] Have we forgotten anyone: such as babies or small children; roomers; people who usually live here, but are away temporarily--on business trips, vacations, at school, temporarily in a hospital, and so on? [LIST ADDITIONAL PERSONS ON LINES 01-10 BELOW.] Are there any people currently staying here--visitors, friends or relatives--do not usually live here? [LIST VISITORS ON LINES 11-14 BELOW.] A. What is that [PERSON'S] relationship to the HEAD OF HOUSEHOLD? B. Code sex. [ASK IF NOT OBVIOUS]. C. How old was [HEAD/PERSON] on (his/her) last birthday? D. IF 13 YRS OR OLDER ASK: Is [PERSON] now married, widowed, divorced, separated, or has (he/she) never been married? E. Are any of the people we have listed staying somewhere else right now? If yes, who is staying somewhere else right now? F. Where is [PERSON] staying right now? Is [PERSON] staying at another household; Is (he/she) traveling; Is (he/she) in some institution or dormitory--like at college or in a hospital or something; or what? 2. Gender of eleventh person"
gender12,gender of 12th person (visitor),"Please tell me the names of the people who usually live in this household. Let's start with the head of the household. [LIST ON LINES 01-10 BELOW.] Have we forgotten anyone: such as babies or small children; roomers; people who usually live here, but are away temporarily--on business trips, vacations, at school, temporarily in a hospital, and so on? [LIST ADDITIONAL PERSONS ON LINES 01-10 BELOW.] Are there any people currently staying here--visitors, friends or relatives--do not usually live here? [LIST VISITORS ON LINES 11-14 BELOW.] A. What is that [PERSON'S] relationship to the HEAD OF HOUSEHOLD? B. Code sex. [ASK IF NOT OBVIOUS]. C. How old was [HEAD/PERSON] on (his/her) last birthday? D. IF 13 YRS OR OLDER ASK: Is [PERSON] now married, widowed, divorced, separated, or has (he/she) never been married? E. Are any of the people we have listed staying somewhere else right now? If yes, who is staying somewhere else right now? F. Where is [PERSON] staying right now? Is [PERSON] staying at another household; Is (he/she) traveling; Is (he/she) in some institution or dormitory--like at college or in a hospital or something; or what? 2. Gender of twelfth person"
gender13,gender of 13th person (visitor),"Please tell me the names of the people who usually live in this household. Let's start with the head of the household. [LIST ON LINES 01-10 BELOW.] Have we forgotten anyone: such as babies or small children; roomers; people who usually live here, but are away temporarily--on business trips, vacations, at school, temporarily in a hospital, and so on? [LIST ADDITIONAL PERSONS ON LINES 01-10 BELOW.] Are there any people currently staying here--visitors, friends or relatives--do not usually live here? [LIST VISITORS ON LINES 11-14 BELOW.] A. What is that [PERSON'S] relationship to the HEAD OF HOUSEHOLD? B. Code sex. [ASK IF NOT OBVIOUS]. C. How old was [HEAD/PERSON] on (his/her) last birthday? D. IF 13 YRS OR OLDER ASK: Is [PERSON] now married, widowed, divorced, separated, or has (he/she) never been married? E. Are any of the people we have listed staying somewhere else right now? If yes, who is staying somewhere else right now? F. Where is [PERSON] staying right now? Is [PERSON] staying at another household; Is (he/she) traveling; Is (he/she) in some institution or dormitory--like at college or in a hospital or something; or what? 2. Gender of thirteenth person"
gender14,gender of 14th person (visitor),"Please tell me the names of the people who usually live in this household. Let's start with the head of the household. [LIST ON LINES 01-10 BELOW.] Have we forgotten anyone: such as babies or small children; roomers; people who usually live here, but are away temporarily--on business trips, vacations, at school, temporarily in a hospital, and so on? [LIST ADDITIONAL PERSONS ON LINES 01-10 BELOW.] Are there any people currently staying here--visitors, friends or relatives--do not usually live here? [LIST VISITORS ON LINES 11-14 BELOW.] A. What is that [PERSON'S] relationship to the HEAD OF HOUSEHOLD? B. Code sex. [ASK IF NOT OBVIOUS]. C. How old was [HEAD/PERSON] on (his/her) last birthday? D. IF 13 YRS OR OLDER ASK: Is [PERSON] now married, widowed, divorced, separated, or has (he/she) never been married? E. Are any of the people we have listed staying somewhere else right now? If yes, who is staying somewhere else right now? F. Where is [PERSON] staying right now? Is [PERSON] staying at another household; Is (he/she) traveling; Is (he/she) in some institution or dormitory--like at college or in a hospital or something; or what? 2. Gender of fourteenth person"
gender2,gender of 2nd person,"Please tell me the names of the people who usually live in this household. Let's start with the head of the household. [LIST ON LINES 01-10 BELOW.] Have we forgotten anyone: such as babies or small children; roomers; people who usually live here, but are away temporarily--on business trips, vacations, at school, temporarily in a hospital, and so on? [LIST ADDITIONAL PERSONS ON LINES 01-10 BELOW.] Are there any people currently staying here--visitors, friends or relatives--do not usually live here? [LIST VISITORS ON LINES 11-14 BELOW.] A. What is that [PERSON'S] relationship to the HEAD OF HOUSEHOLD? B. Code sex. [ASK IF NOT OBVIOUS]. C. How old was [HEAD/PERSON] on (his/her) last birthday? D. IF 13 YRS OR OLDER ASK: Is [PERSON] now married, widowed, divorced, separated, or has (he/she) never been married? E. Are any of the people we have listed staying somewhere else right now? If yes, who is staying somewhere else right now? F. Where is [PERSON] staying right now? Is [PERSON] staying at another household; Is (he/she) traveling; Is (he/she) in some institution or dormitory--like at college or in a hospital or something; or what? 2. Gender of second person"
gender3,gender of 3rd person,"Please tell me the names of the people who usually live in this household. Let's start with the head of the household. [LIST ON LINES 01-10 BELOW.] Have we forgotten anyone: such as babies or small children; roomers; people who usually live here, but are away temporarily--on business trips, vacations, at school, temporarily in a hospital, and so on? [LIST ADDITIONAL PERSONS ON LINES 01-10 BELOW.] Are there any people currently staying here--visitors, friends or relatives--do not usually live here? [LIST VISITORS ON LINES 11-14 BELOW.] A. What is that [PERSON'S] relationship to the HEAD OF HOUSEHOLD? B. Code sex. [ASK IF NOT OBVIOUS]. C. How old was [HEAD/PERSON] on (his/her) last birthday? D. IF 13 YRS OR OLDER ASK: Is [PERSON] now married, widowed, divorced, separated, or has (he/she) never been married? E. Are any of the people we have listed staying somewhere else right now? If yes, who is staying somewhere else right now? F. Where is [PERSON] staying right now? Is [PERSON] staying at another household; Is (he/she) traveling; Is (he/she) in some institution or dormitory--like at college or in a hospital or something; or what? 2. Gender of third person"
gender4,gender of 4th person,"Please tell me the names of the people who usually live in this household. Let's start with the head of the household. [LIST ON LINES 01-10 BELOW.] Have we forgotten anyone: such as babies or small children; roomers; people who usually live here, but are away temporarily--on business trips, vacations, at school, temporarily in a hospital, and so on? [LIST ADDITIONAL PERSONS ON LINES 01-10 BELOW.] Are there any people currently staying here--visitors, friends or relatives--do not usually live here? [LIST VISITORS ON LINES 11-14 BELOW.] A. What is that [PERSON'S] relationship to the HEAD OF HOUSEHOLD? B. Code sex. [ASK IF NOT OBVIOUS]. C. How old was [HEAD/PERSON] on (his/her) last birthday? D. IF 13 YRS OR OLDER ASK: Is [PERSON] now married, widowed, divorced, separated, or has (he/she) never been married? E. Are any of the people we have listed staying somewhere else right now? If yes, who is staying somewhere else right now? F. Where is [PERSON] staying right now? Is [PERSON] staying at another household; Is (he/she) traveling; Is (he/she) in some institution or dormitory--like at college or in a hospital or something; or what? 2. Gender of fourth person"
gender5,gender of 5th person,"Please tell me the names of the people who usually live in this household. Let's start with the head of the household. [LIST ON LINES 01-10 BELOW.] Have we forgotten anyone: such as babies or small children; roomers; people who usually live here, but are away temporarily--on business trips, vacations, at school, temporarily in a hospital, and so on? [LIST ADDITIONAL PERSONS ON LINES 01-10 BELOW.] Are there any people currently staying here--visitors, friends or relatives--do not usually live here? [LIST VISITORS ON LINES 11-14 BELOW.] A. What is that [PERSON'S] relationship to the HEAD OF HOUSEHOLD? B. Code sex. [ASK IF NOT OBVIOUS]. C. How old was [HEAD/PERSON] on (his/her) last birthday? D. IF 13 YRS OR OLDER ASK: Is [PERSON] now married, widowed, divorced, separated, or has (he/she) never been married? E. Are any of the people we have listed staying somewhere else right now? If yes, who is staying somewhere else right now? F. Where is [PERSON] staying right now? Is [PERSON] staying at another household; Is (he/she) traveling; Is (he/she) in some institution or dormitory--like at college or in a hospital or something; or what? 2. Gender of fifth person"
gender6,gender of 6th person,"Please tell me the names of the people who usually live in this household. Let's start with the head of the household. [LIST ON LINES 01-10 BELOW.] Have we forgotten anyone: such as babies or small children; roomers; people who usually live here, but are away temporarily--on business trips, vacations, at school, temporarily in a hospital, and so on? [LIST ADDITIONAL PERSONS ON LINES 01-10 BELOW.] Are there any people currently staying here--visitors, friends or relatives--do not usually live here? [LIST VISITORS ON LINES 11-14 BELOW.] A. What is that [PERSON'S] relationship to the HEAD OF HOUSEHOLD? B. Code sex. [ASK IF NOT OBVIOUS]. C. How old was [HEAD/PERSON] on (his/her) last birthday? D. IF 13 YRS OR OLDER ASK: Is [PERSON] now married, widowed, divorced, separated, or has (he/she) never been married? E. Are any of the people we have listed staying somewhere else right now? If yes, who is staying somewhere else right now? F. Where is [PERSON] staying right now? Is [PERSON] staying at another household; Is (he/she) traveling; Is (he/she) in some institution or dormitory--like at college or in a hospital or something; or what? 2. Gender of sixth person"
gender7,gender of 7th person,"Please tell me the names of the people who usually live in this household. Let's start with the head of the household. [LIST ON LINES 01-10 BELOW.] Have we forgotten anyone: such as babies or small children; roomers; people who usually live here, but are away temporarily--on business trips, vacations, at school, temporarily in a hospital, and so on? [LIST ADDITIONAL PERSONS ON LINES 01-10 BELOW.] Are there any people currently staying here--visitors, friends or relatives--do not usually live here? [LIST VISITORS ON LINES 11-14 BELOW.] A. What is that [PERSON'S] relationship to the HEAD OF HOUSEHOLD? B. Code sex. [ASK IF NOT OBVIOUS]. C. How old was [HEAD/PERSON] on (his/her) last birthday? D. IF 13 YRS OR OLDER ASK: Is [PERSON] now married, widowed, divorced, separated, or has (he/she) never been married? E. Are any of the people we have listed staying somewhere else right now? If yes, who is staying somewhere else right now? F. Where is [PERSON] staying right now? Is [PERSON] staying at another household; Is (he/she) traveling; Is (he/she) in some institution or dormitory--like at college or in a hospital or something; or what? 2. Gender of seventh person"
gender8,gender of 8th person,"Please tell me the names of the people who usually live in this household. Let's start with the head of the household. [LIST ON LINES 01-10 BELOW.] Have we forgotten anyone: such as babies or small children; roomers; people who usually live here, but are away temporarily--on business trips, vacations, at school, temporarily in a hospital, and so on? [LIST ADDITIONAL PERSONS ON LINES 01-10 BELOW.] Are there any people currently staying here--visitors, friends or relatives--do not usually live here? [LIST VISITORS ON LINES 11-14 BELOW.] A. What is that [PERSON'S] relationship to the HEAD OF HOUSEHOLD? B. Code sex. [ASK IF NOT OBVIOUS]. C. How old was [HEAD/PERSON] on (his/her) last birthday? D. IF 13 YRS OR OLDER ASK: Is [PERSON] now married, widowed, divorced, separated, or has (he/she) never been married? E. Are any of the people we have listed staying somewhere else right now? If yes, who is staying somewhere else right now? F. Where is [PERSON] staying right now? Is [PERSON] staying at another household; Is (he/she) traveling; Is (he/she) in some institution or dormitory--like at college or in a hospital or something; or what? 2. Gender of eighth person"
gender9,gender of 9th person,"Please tell me the names of the people who usually live in this household. Let's start with the head of the household. [LIST ON LINES 01-10 BELOW.] Have we forgotten anyone: such as babies or small children; roomers; people who usually live here, but are away temporarily--on business trips, vacations, at school, temporarily in a hospital, and so on? [LIST ADDITIONAL PERSONS ON LINES 01-10 BELOW.] Are there any people currently staying here--visitors, friends or relatives--do not usually live here? [LIST VISITORS ON LINES 11-14 BELOW.] A. What is that [PERSON'S] relationship to the HEAD OF HOUSEHOLD? B. Code sex. [ASK IF NOT OBVIOUS]. C. How old was [HEAD/PERSON] on (his/her) last birthday? D. IF 13 YRS OR OLDER ASK: Is [PERSON] now married, widowed, divorced, separated, or has (he/she) never been married? E. Are any of the people we have listed staying somewhere else right now? If yes, who is staying somewhere else right now? F. Where is [PERSON] staying right now? Is [PERSON] staying at another household; Is (he/she) traveling; Is (he/she) in some institution or dormitory--like at college or in a hospital or something; or what? 2. Gender of ninth person"
genegen,how dangerous modifying genes in crops,Do you think that modifying the genes of certain crops is:
genetics,how likely x s situation caused by genetic problem,"In your opinion, how likely is it that NAME's situation might be caused by (READ a-f) -- very likely, somewhat likely, not very likely, or not at all likely? E. A genetic or inherited problem"
getahead,opinion of how people get ahead,Some people say that people get ahead by their own hard work; others say that lucky breaks or help from other people are more important. Which do you think is most important?
getaheadnv,opinion of how people get ahead (no volunteered response on web),Some people say that people get ahead by their own hard work; others say that lucky breaks or help from other people are more important. Which do you think is most important?
getaheadv,opinion of how people get ahead (with volunteered response on web),Some people say that people get ahead by their own hard work; others say that lucky breaks or help from other people are more important. Which do you think is most important?
givcabnt,how much ought cabinet member make?,"Next, what do you think people in these jobs ought to be paid -- how much do you think they should earn each year before taxes, regardless of what they actually get? Please write in how much they should earn each year. K. A member of the cabinet in the federal government?"
givclerk,how much ought bank clerk make?,"Next, what do you think people in these jobs ought to be paid -- how much do you think they should earn each year before taxes, regardless of what they actually get? Please write in how much they should earn each year. C. A bank clerk?"
givdoc,how much ought doctor make?,"Next, what do you think people in these jobs ought to be paid -- how much do you think they should earn each year before taxes, regardless of what they actually get? Please write in how much they should earn each year. B. A doctor in general practice?"
givexec,how much ought corporate head make?,"Next, what do you think people in these jobs ought to be paid -- how much do you think they should earn each year before taxes, regardless of what they actually get? Please write in how much they should earn each year. E. The chairman of a large national corporation?"
givunskl,how much ought unskilled worker make?,"Next, what do you think people in these jobs ought to be paid -- how much do you think they should earn each year before taxes, regardless of what they actually get? Please write in how much they should earn each year. J. An unskilled worker in a factory?"
god,r's confidence in the existence of god,"Please look at this card and tell me which statement comes closest to expressing what you believe about God. I don''t believe in God.....................1 I don''t know whether there is a God and I don''t believe there is any way to find out..................................2 I don''t believe in a personal God, but I do believe in a Higher Power of some kind........................3 I find myself believing in God some of the time, but not at others........4 While I have doubts, I feel that I do believe in God….............................5 I know God really exists and I have no doubts about it...........................6"
godmeans,life meaningful because god exists,"Do you agree or disagree with the following. . . C. To me, life is meaningful only because God exists."
godswill,how likely x s situation caused by god s will,"In your opinion, how likely is it that NAME's situation might be caused by (READ a-f) -- very likely, somewhat likely, not very likely, or not at all likely? F. God's will"
goodlife,standard of living of r will improve,"The way things are in America, people like me and my family have a good chance of improving our standard of living -- do you agree or disagree?"
govchrst,the federal government should advocate christian values.,The federal government should advocate Christian values.
goveqinc,govmnt should reduce inc differentials,Do you agree or disagree? B. It is the responsibility of the government to reduce the differences in income between people with high incomes and those with low incomes.
goveqinc1,govnmnt should fix income differences,To what extent do you agree or disagree with the following statements? It is the responsibility of the government to reduce the differences in income between people with high incomes and those with low incomes.
govfnaid,govt should give financial assistance to college students from low-income famili,"The government should give financial assistance to college students from low-income families, even if it might require a tax increase to pay for it"
govfnanc,govt should finance projects to create new jobs,"The government should finance projects to create new jobs, even if it might require a tax increase"
govineq1,politicians do not care about reducing inc differences,To what extent do you agree or disagree with the following statement: Most politicians in America do not care about reducing the differences in income between people with high incomes and people with low incomes.
govineq2,us govt success in reducing inc differences,How successful do you think the government in America is nowadays in reducing the differences in income between people with high incomes and people with low incomes?
govunemp,govmnt should provide unemp benefits,Do you agree or disagree? F. The government should provide a decent standard of living for the unemployed.
granborn,how many grandparents born outside u.s.,Were all of your four grandparents born in this country? A. How many were born outside the United States?
grass,should marijuana be made legal,Do you think the use of marijuana should be made legal or not?
grncon,concerned about environment,"C. Generally speaking, how concerned are you about environmental issues? Please tell me what you think, where 1 means you are not at all concerned and 5 means you are very concerned."
grndemo,protested for envir issue,"In the last five years, have you… C. ...taken part in a protest or demonstration about an environmental issue?"
grnecon,"worry too much about envir, too little econ","And please check one box for each of these statements to show how much you agree or disagree with it. A. We worry too much about the future of the environment, and not enough about prices and jobs today."
grneffme,environment effect everyday life,G2. (How much do you agree or disagree with each of these statements?) Environmental problems have a direct effect on my everyday life.
grnexagg,environmental threats exaggerated,How much do you agree or disagree with each of these statements? C. Many of the claims about environmental threats are exaggerated.
grngroup,member of envir group,Are you a member of any group whose main aim is to preserve or protect the environment?
grnmoney,give money to envir group,"In the last five years, have you… B. ...given money to an environmental group?"
grnprice,pay higher prices to help envir?,A. How willing would you be to pay much higher prices in order to protect the environment?
grnprog,worry too much about progress harming envir,How much do you agree or disagree with each of the following statements. A. People worry too much about human progress harming the environment.
grnsign,sign petition on envir issue,"In the last five years, have you… A. ...signed a petition about an environmental issue?"
grnsol,accept cut in living stnds to help envir?,C. And how willing would you be to accept cuts in your standard of living in order to protect the environment?
grntaxes,pay higher taxes to help envir?,B. And how willing would you be to pay much higher taxes in order to protect the environment?
grwtharm,econ grwth always harms envir,How much do you agree or disagree with each of the following statements. F. Economic growth always harms the environment.
grwthelp,amer needs econ grwth to protect envir,"How much do you agree or disagree with each of the following statements. C. In order to protect the environment, America needs economic growth."
gunlaw,favor or oppose gun permits,Would you favor or oppose a law which would require a person to obtain a police permit before he or she could buy a gun?
hapcohab,happiness of relt with partner,"B. Taking things all together, would you say that your relationship with your partner is very happy, pretty happy, or not too happy?"
hapmar,happiness of marriage,"A. Taking things all together, how would you describe your marriage? Would you say that your marriage is very happy, pretty happy, or not too happy?"
happy,general happiness,"Taken all together, how would you say things are these days--would you say that you are very happy, pretty happy, or not too happy?"
happy7,how happy r is,"If you were to consider your life in general, how happy or unhappy would you say you are, on the whole?"
hapunhap,happy or unhappy with life today,"If you were to consider your life in general these days, how happy or unhappy would you say you are, on the whole…"
harmsgrn,almost everything we do harms envir,And please check one box for each of these statements to show how much you agree or disagree with it. B. Almost everything we do in modern life harms the environment.
health,condition of health,"Would you say your own health, in general, is excellent, good, fair, or poor?"
health1,r's health in general,"Would you say that in general your health is Excellent, Very good, Good, Fair, or Poor?"
height,r is how tall,About how tall are you without shoes? Reported in inches.
helpblk,Should govt aid Black people?,"Now look at CARD BF. Some people think that Black people have been discriminated against for so long that the government has a special obligation to help improve their living standards. Others believe that the government should not be giving special treatment to Black people.A. Where would you place yourself on this scale, or haven't you made up your mind on this?"
helpfrds,should better off ppl help less well-off friend,Please select a response to indicate how much you agree or disagree with each of the following statements. C. People who are better off should help friends who are less well off
helpful,people helpful or looking out for selves,"Would you say that most of the time people try to be helpful, or that they are mostly just looking out for themselves?"
helpfulnv,people helpful or looking out for selves (no volunteered response on web),"Would you say that most of the time people try to be helpful, or that they are mostly just looking out for themselves?"
helpfulv,people helpful or looking out for selves (with volunteered response on web),"Would you say that most of the time people try to be helpful, or that they are mostly just looking out for themselves?"
helpharm,way living helps or harms,G1. (How much do you agree or disagree with each of these statements?) I find it hard to know whether the way I live is helpful or harmful to the environment.
helpnot,should govt do more or less?,"Now look at CARD BD. Some people think that the government in Washington is trying to do too many things that should be left to individuals and private businesses. Others disagree and think that the government should Do even more to solve our country's problems. Still others have opinions somewhere in between. A. Where would you place yourself on this scale, or haven't you made up your mind on this?"
helpoth,to help others,"If you had to choose, which thing on this list would you pick as the most important for a child to learn to prepare him or her for life? [INTERVIEWER: READ CHOICES] A. Which comes next in importance? B. Which comes third? C. Which comes fourth? 5. To help others when they need help"
helppoor,should govt improve standard of living?,"I'd like to talk with you about issues some people tell us are important. Please look at CARD BC. Some people think that the government in Washington should do everything possible to improve the standard of living of all poor Americans; they are at Point 1 on this card. Other people think it is not the government's responsibility, and that each person should take care of himself; they are at Point 5. A. Where would you place yourself on this scale, or haven't you have up your mind on this?"
helpsick,should govt help pay for medical care?,"Look at CARD BE. In general, some people think that it is the responsibility of the government in Washington to see to it that people have help in paying for doctors and hospital bills. Others think that these matters are not the responsibility of the federal government and that people should take care of these things themselves. A. Where would you place yourself on this scale, or haven't you made up your mind on this?"
hhclean1,who does household cleaning,"In your household who does the following things...? Is it always you, usually you, about equal or both together, usually your [spouse/partner], always your [spouse/partner], or by a third person? Does the household cleaning?"
hispanic,hispanic specified,"IF R IS FEMALE, READ LATINA; IF MALE, READ LATINO. Are you Spanish, Hispanic, or Latino/Latina? Yes . . . . . (ASK A) No . . . . . . (GO TO NEXT QUESTION) IF YES: Which group are you from? Mexican, Mexican American, Chicano/Chicana Puerto Rican Cuban Other As of 2024, HISPANIC has been recoded to remove certain sensitive categories. This has been retroactively applied to all previous years of HISPANIC. The original HISPANIC containing data from 2000 to 2022 has been renamed HISPANIC_0022."
hivtest,have you ever been tested for hiv,Have you ever been tested for HIV? Do not count tests you may have had as part of a blood donation. Include oral test (where they take a swab from your mouth).
hivtest1,in what month and year was your last hiv test,"Have you ever been tested for HIV? Do not count tests you may have had as part of a blood donation. Include oral test (where they take a swab from your mouth). A. Not including blood donations, in what month and year was your last HIV test? As of 2024, HIVTEST1 accounts for only the year in which the respondent tested for HIV and the variable has been slightly adjusted to help protect confidentiality. Please see the 2024 codebook for more information. The original HIVTEST1 containing data from 2006 to 2022 has been renamed HIVTEST1_0622."
hivtest2,where did you have your last hiv test,"Have you ever been tested for HIV? Do not count tests you may have had as part of a blood donation. Include oral test (where they take a swab from your mouth). B. Where did you have your last HIV test – at a private doctor or HMO office, at a counselling and testing site, at a hospital, at a clinic, in a jail or prison, at home, or somewhere else? As of 2024, HIVTEST2 has been recoded to only account for seven categories by combining jail, home, and drug treatment facility into ""Somewhere else."" This has been retroactively applied to all previous years of HIVTEST2. The original HIVTEST2 containing data from 2006 to 2022 has been renamed HIVTEST2_0622."
hlpequip,enough help and equip to ge the job done,"Now I''m going to read you another list of statements about your main job. For each, please tell me if the statement is very true, somewhat true, not too true, or not at all true with respect to the work you do. C. I receive enough help and equipment to get the job done"
hlthdays,days of activity limitation past 30 days,"C. During the past 30 days, for about how many days did your poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?"
hlthgov,GOVT SHOULD PROVIDE ONLY LIMITED HEALTH CARE,(How much do you agree or disagree with the following statements?) The government should provide only limited health care services.
homekid,most women really want a home and kids,"Do you agree or disagree ... E. A job is alright, but what most women really want is a home and children."
homosex,homosexual sex relations,"What about sexual relations between two adults of the same sex--do you think it is always wrong, almost always wrong, wrong only sometimes, or not wrong at all?"
homosex1,is homosexual sex wrong?,"C. And what about sexual relations between two adults of the same sex, is it. . ."
hompop,number of persons in household,"Household Size and Composition (see Appendix D: Recodes, for information about these variables) As of 2024, HOMPOP has been calculated to only account for 0 to 14+ people in the household. This has been retroactively applied to all previous years of HOMPOP. The original HOMPOP containing data from 1972 to 2022 has been renamed HOMPOP_7222."
hotcore,sci knowledge: the center of earth is very hot,"Now, I would like to ask you a few short questions like those you might see on a television game show. for each statement that I read, please tell me if it is true or false. If you don’t know or aren’t sure, just tell me so, and we will skip to the next question. Remember true, false, or don’t know. A. First, the center of the Earth is very hot. Is that true or false?"
housewrk,being housewife as fulfilling as paid work,Do you agree or disagree ... F. Being a housewife is just as fulfilling as working for pay.
hrs1,number of hours worked last week,"Last week were you working full time, part time, going to school, keeping house, or what? A. IF WORKING, FULL OR PART TIME: How many hours did you work last week, at all jobs?"
hrs2,number of hours usually work a week,"Last week were you working full time, part time, going to school, keeping house, or what? B. IF WITH A JOB, BUT NOT AT WORK: How many hours a week do you usually work, at all jobs?"
hrsrelax,hours per day r have to relax,"After an average work day, about how many hours do you have to relax or pursue activities that you enjoy?"
hsbio,r ever took a high school biology course,Did you take a high school biology course?
hschem,r ever took a high school chemistry course,Did you take a high school chemistry course?
hsmath,the highest level of math r completed in high school,"Now, let me ask you to think about the courses you took in high school. What was the highest level of math that you completed in high school?"
hsphys,r ever took a high school physics course,Did you take a high school physics course?
hubbywk1,men should earn money women keep house,"And, do you agree or disagree . . . A. A man''s job is to earn money; a woman''s job is to look after the home and family."
hunt,does r or spouse hunt,A. Do you (or does your [husband/wife]) go hunting? CIRCLE ONLY ONE CODE.
hurtoth,how likely x violent toward other people,"In your opinion, how likely is it NAME would do something violent toward other people? Is it:"
hurtself,how likely x violent toward oneself,"In your opinion, how likely is it NAME would do something violent toward him/herself? Is it:"
hyperten,told have hypertension or high blood pressure,"Now I would like to ask you some questions about general health conditions. Has a doctor, nurse, or other health professional EVER told you that you had: A. Hypertension or high blood pressure?"
idu30,r inject drugs in past 30 days,"How long has it been since you last used a needle to inject drugs? As of 2024, IDU30 will only be available as restricted data, beginning with R2."
ihlpgrn,do what i can to help envir,"(How much do you agree or disagree with each of these statements?) I do what is right for the environment, even when it costs more money or takes more time"
imbalnce,how likely x s situation caused by imbalance in brain,"In your opinion, how likely is it that NAME's situation might be caused by (READ a-f) -- very likely, somewhat likely, not very likely, or not at all likely? B. A chemical imbalance in the brain"
immcrime,immigrants increase crime rates,"There are different opinions about immigrants from other countries living in America. (By ""immigrants"" we mean people who come to settle in America.) How much do you agree or disagree with each of the following statements? A. Immigrants increase crime rates"
immjobs,immigrants take jobs away,"There are different opinions about immigrants from other countries living in America. (By ""immigrants"" we mean people who come to settle in America.) How much do you agree or disagree with each of the following statements? C. Immigrants take jobs away from people who were born in America"
impgrn,more important in life than save environment,How much do you agree or disagree with each of these statements? A. There are more important things to do in life than protect the environment.
imports,america should limit the import,How much do you agree or disagree with the following statements? A. America should limit the import of foreign products in order to protect its national economy
imprvown,how likely x s situation will improve on its own,"In your opinion, how likely is it that NAME's situation will improve on its own -- very likely, somewhat likely, somewhat unlikely, or not likely at all?"
imprvtrt,how likely x s situation will improve with treatment,"In your opinion, how likely is it that NAME's situation will improve with treatment -- very likely, somewhat likely, somewhat unlikely, or not likely at all?"
incgap,income differentials in usa too big,Do you agree or disagree? A. Differences in income in America are too large.
incom16,r's family income when 16 yrs old,"Thinking about the time when you were 16 years old, compared with American families in general then, would you say your family income was--far below average, below average, average, above average, or far above average? (PROBE: Just your best guess.)"
income,total family income,"In which of these groups did your total family income, from all sources, fall last year before taxes, that is? Just tell me the letter."
indus10,r's industry code (naics 2007),"Respondent's Occupation, Prestige, and Industry"
indusgen,indust air pollution danger to envir,"A. In general, do you think that air pollution caused by industry is…"
inequal5,pay differences -> american prosperity,Do you agree or disagree . . . E. Large differences in income are necessary for America''s prosperity.
inteduc,interested in local school issues,"Local school issues. (Are you very interested, moderately interested, or not at all interested?)"
intenvir,interested in environmental issues,"Issues about environmental pollution. (Are you very interested, moderately interested, or not at all interested?)"
intfarm,interested in farm issues,"Agricultural and farm issues. (Are you very interested, moderately interested, or not at all interested?)"
intlhsps,unintelligent - intelligent,"Now I have some questions about different groups in our society. I'm going to show you a seven-point scale on which the characteristics of people in a group can be rated. In the first statement a score of 1 means that you think almost all of the people in that group are ""rich."" A score of 7 means that you think almost everyone in the group are ""poor."" A score of 4 means you think that the group is not towards one end or another, and of course you may choose any number In between that comes closest to where you think people in the group stand. D. Do people in these groups tend to be unintelligent or tend to be intelligent? 5. Hispanic Americans?"
intlwhts,unintelligent -intelligent,"Now I have some questions about different groups in our society. I'm going to show you a seven-point scale on which the characteristics of people in a group can be rated. In the first statement a score of 1 means that you think almost all of the people in that group are ""rich."" A score of 7 means that you think almost everyone in the group are ""poor."" A score of 4 means you think that the group is not towards one end or another, and of course you may choose any number In between that comes closest to where you think people in the group stand. D. Do people in these groups tend to be unintelligent or tend to be intelligent? 1. Where would you rate whites in general on this scale?"
intmed,interested in medical discoveries,"Issues about new medical discoveries. (Are you very interested, moderately interested, or not at all interested?)"
intmil,interested in military policy,"Issues about military and defense policy. (Are you very interested, moderately interested, or not at all interested?)"
intsci,interested in new scientific discoveries,"Issues about new scientific discoveries. (Are you very interested, moderately interested, or not at all interested?)"
intspace,interested in space exploration,"Issues about space exploration. (Are you very interested, moderately interested, or not at all interested?)"
inttech,interested in technologies,"Issues about the use of new inventions and technologies. (Are you very interested, moderately interested, or not at all interested?)"
jew,what sort of jew r is,"B. Do you consider yourself Orthodox, Conservative, Reform or none of these? (PROBE FOR EXACT DENOMINATION)"
jew16,what sort of jew r was at age 16,"Were you raised as a Jew? A. Were you Orthodox, Conservative, Reform, or none of these? (PROBE FOR EXACT DENOMINATION)"
jobfind,could r find equally good job,"B. About how easy would it be for you to find a job with another employer with approximately the same income and fringe benefits you now have? Would you say very easy, somewhat easy, or not easy at all?"
jobfind1,how easy for r to find a same job,How easy would it be for you to find a job with another employer with approximately the same income and fringe benefits as you have now?
joblose,is r likely to lose job,"A. Thinking about the next 12 months, how likely do you think it is that you will lose your job or be laid off--very likely, fairly likely, not too likely, or not at all likely?"
